Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BmeT110I OR BsoBI) AND (BssAI),197_517,40_360,510.0,25.5,314.079,131.1,2.78946872340464,0.887981648000536,0.25|0.2,510
(BssAI) AND (BtgI),197_657,40_500,507.0,25.35,441.138,93.34,2.93956651055002,0.971791417377657,0.25|0.2,507
(BmeT110I OR BsoBI) AND (BtgI),197_417,40_260,510.0,25.5,446.296,92.26,2.94205281832558,0.888412645849177,0.25|0.2,510
(BmeT110I OR BsoBI) AND (BsaWI),197_877,40_720,502.0,25.1,441.485,93.27,2.94421223532600,0.927698816734112,0.25|0.2,502
(BssAI) AND (BsiSI OR MspI),237_437,80_280,530.0,26.5,496.211,82.98,2.97139051787742,0.934537352163700,0.25|0.2,530
(BsaWI) AND (BsiSI OR MspI),237_437,80_280,527.0,26.35,496.486,82.94,2.97409639147893,0.938368601329220,0.25|0.2,527
(CspAI) AND (BsiSI OR MspI),237_437,80_280,527.0,26.35,496.623,82.91,2.97421621386378,0.939048660984178,0.25|0.2,527
(BsiSI OR MspI),237_437,80_280,527.0,26.35,496.649,82.91,2.97423895014656,0.939062801347789,0.25|0.2,527
(BmeT110I OR BsoBI) AND (PasI),217_677,60_520,505.0,25.25,479.916,85.8,2.97787385107168,0.965095125530239,0.25|0.2,505
(BsiSI OR MspI) AND (Sfr274I),237_417,80_260,521.0,26.05,495.937,83.03,2.97858878728317,0.945975700002752,0.25|0.2,521
(BsiSI OR MspI) AND (MssI),237_437,80_280,528.0,26.4,503.24,81.82,2.97914123114517,0.939554454911541,0.25|0.2,528
(BsiSI OR MspI) AND (SbfI OR SdaI OR Sse8387I),237_417,80_260,510.0,25.5,490.093,84.02,2.98270832342942,0.947227224458622,0.25|0.2,510
(SfuI) AND (BsiSI OR MspI),237_417,80_260,506.0,25.3,488.916,84.22,2.98508373314240,0.942499510952714,0.25|0.2,506
(BsiSI OR MspI) AND (PacI),237_417,80_260,502.0,25.1,491.741,83.74,2.99103270292352,0.948679284826556,0.25|0.2,502
(BsiSI OR MspI) AND (SmiI OR SwaI),237_417,80_260,504.0,25.2,500.405,82.29,2.99689110402742,0.947611103746398,0.25|0.2,504
(BauI OR BssSI) AND (BsiSI OR MspI),237_397,80_240,502.0,25.1,500.365,82.29,2.99858320650131,0.897750460456911,0.25|0.2,502
(BsiSI OR MspI) AND (KpnI),237_417,80_260,507.0,25.35,518.483,79.42,3.00972656199495,0.950390744481993,0.25|0.2,507
(Eam1105I) AND (BsiSI OR MspI),237_417,80_260,506.0,25.3,522.417,78.82,3.01386678405751,0.946584783326144,0.25|0.2,506
(BmtI OR BspOI) AND (BsiSI OR MspI),237_417,80_260,502.0,25.1,522.461,78.81,3.01735016018938,0.953226241967110,0.25|0.2,502
(BsiSI OR MspI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),237_417,80_260,516.0,25.8,537.382,76.63,3.01763341370478,0.947404444697090,0.25|0.2,516
(BmeT110I OR BsoBI) AND (BsiSI OR MspI),237_377,80_220,518.0,25.9,540.011,76.25,3.01807284672708,0.956640680824049,0.25|0.2,518
(BsiSI OR MspI) AND (CsiI OR MabI OR SexAI),237_417,80_260,508.0,25.4,531.633,77.45,3.01974821873976,0.952129821058740,0.25|0.2,508
(BssAI) AND (PvuII),177_877,20_720,504.0,25.2,527.563,78.05,3.01984379277281,0.984099690644574,0.25|0.2,504
(BsiSI OR MspI) AND (BspQI OR LguI OR SapI),237_417,80_260,517.0,25.85,541.583,76.03,3.02017448052616,0.949695533646825,0.25|0.2,517
(AhlI OR BcuI OR SpeI) AND (BsiSI OR MspI),237_417,80_260,505.0,25.25,529.475,77.77,3.02055408090772,0.949666304365170,0.25|0.2,505
(BamHI) AND (BsiSI OR MspI),237_437,80_280,549.0,27.45,576.591,71.41,3.02129551475915,0.941200503367146,0.25|0.2,549
(BsiSI OR MspI) AND (Eco32I),237_417,80_260,505.0,25.25,536.658,76.73,3.02640622968563,0.949524772802776,0.25|0.2,505
(BsiSI OR MspI) AND (CspCI),237_417,80_260,513.0,25.65,548.573,75.06,3.02911706331241,0.949038600672046,0.25|0.2,513
(BsiSI OR MspI) AND (PaeI OR SphI),237_397,80_240,504.0,25.2,541.692,76.02,3.03132188529359,0.935295885185115,0.25|0.2,504
(BsiSI OR MspI) AND (PasI),237_377,80_220,509.0,25.45,548.586,75.06,3.03252693781048,0.947740472254326,0.25|0.2,509
