enzyme,n_sites,mean_%_GC_content,mean_%_CpG_content,%_sites_protein_coding_genes,%_sites_exons,%_sites_introns,%_sites_non_coding_RNA_genes,%_sites_intragenic,%_sites_intergenic,%_sites_CGI,%_sites_shores,%_sites_shelves,%_sites_CGI_promoters,%_sites_non_CGI_promoters
MssI,42145,33.5512132448,0.394718234666,44.0194566378,1.92905445486,42.1924308933,7.49555107367,45.9627476569,53.9779333254,0.17083877091,2.74291137739,2.4107248784,1.08197888243,0.984695693439
BsaXI,2631194,48.3124134464,0.69121417881,46.3267626788,3.73267801614,42.7705064697,6.7968382415,49.3611265456,50.6379233154,1.67140849363,5.61729769831,4.03862276974,2.53508483221,1.49483466441
SmlI,2727922,44.8811746816,0.436527144105,45.8449691743,2.48467514834,43.4862140486,6.82581833352,48.3994410397,51.5996425118,0.511011678486,3.70956354324,3.32318885951,1.60510454478,1.20593624011
NmeAIII,783145,58.769811717,0.865216403093,51.8942213766,4.42919255055,47.6753347081,5.23338589916,56.2571426747,43.7396650684,4.6770393733,7.27528107822,5.61990435998,5.23095978395,1.59574536005
BfuCI,7199507,44.9295445446,0.423663786979,44.8301251738,2.74607691888,42.2120847997,6.94461440207,47.3134341004,52.6862186536,0.55998278771,3.63124863966,3.3031428402,1.59813720578,1.1984848407
AsuII,125792,39.9280249308,0.542897004579,38.5954591707,3.98197023658,34.77327652,5.94791401679,40.9270859832,59.0530399389,1.04060671585,4.25861740015,2.57965530399,2.16706944798,1.09943398626
BpmI,2913239,52.1038110969,0.614500286451,46.903566786,3.74383976049,43.33846279,6.49908915815,50.0061272007,49.993014648,1.20199544219,5.44284214237,4.29782795026,2.30478858755,1.50296628598
AccB7I,986604,49.042170322,0.583074769614,45.3165606464,3.66398271242,41.8263051842,6.72650830526,48.0998455307,51.8976205245,0.863872435141,4.97646472141,3.95974474054,1.89447843309,1.40522438587
AclWI,3034580,47.4713917715,0.485063534328,45.3313473364,3.09215772858,42.382075938,6.734309196,48.0518885645,51.9472875983,0.843312748387,4.27363918565,3.60926388495,1.9422457144,1.30370594942
FaeI,13815795,42.7617160961,0.414052191712,43.544233249,2.39129923396,41.2657686365,7.30303250736,45.6941059128,54.3057131349,0.318309586962,2.99413099282,2.99102585121,1.11162622202,1.10883231837
MnlI,27022028,49.778356961,0.638158590466,46.2928800163,3.34415684863,43.1102025355,6.54214036045,49.3335400289,50.666367454,1.52108124527,5.33453299656,4.11140496191,2.4928180816,1.46796532074
BauI,392639,53.8027876648,0.739878106862,48.3854125545,4.18705222864,44.3965067148,6.1239459147,51.748298055,48.2453347732,2.38259571769,6.20952070477,4.67554165531,2.9653192882,1.44865894626
HindIII,860418,38.2706554885,0.392124641744,42.4557598749,2.48472254183,40.0960928293,7.40117012894,44.3919118382,55.6051825973,0.195486379876,2.70984567966,2.40789941633,1.09423559247,1.05320902166
BseRI,2043973,49.9759535123,0.799809439753,46.4735101687,4.59306458549,42.0910158794,6.90170564875,49.5250671119,50.4737097799,2.20634029902,6.1509618767,4.09281335908,2.98888488253,1.64165573616
CspCI,866462,47.2324848523,0.406022653042,43.7341741473,2.38013900206,41.4722169005,7.01969618979,46.1300091637,53.8671055395,0.385360235071,3.42161572002,3.29616301696,1.350318883,1.12515032396
AhdI,273004,45.9120202891,0.644827914609,44.8520900793,3.59152246854,41.4180744604,7.17462015209,47.5773248744,52.4135177507,1.6124305871,4.85487392126,3.54683447862,2.25417942594,1.30840573764
BstDEI,14312168,45.3014201408,0.486643980143,44.3952865841,2.47529933969,42.0455307679,6.79456809059,46.9324912899,53.0673340335,0.553214579371,3.97918749976,3.41637269769,1.60599707885,1.27401383215
AxyI,950250,51.7434319209,0.601165482768,46.854617206,3.09423835833,43.9161273349,6.53827940016,50.0012628256,49.9961062878,0.895553801631,5.45140752434,4.35569586951,2.23709550118,1.52928176796
BstXI,1811442,53.5907327895,0.426156123133,47.7705606914,2.43010816797,45.4623443643,6.03563348978,50.8333692163,49.1652506677,0.452346804369,4.52175669991,4.40063772398,1.80226581917,1.3748715112
BmrI,1706650,48.0749855934,0.562563267219,44.5765681305,2.96809539156,41.7590015527,7.0175489995,47.3054229045,52.6931122374,0.866141270911,4.73963612926,3.63706676823,1.93706969795,1.36390003809
CsiI,297950,46.5384924652,0.585852995469,45.6821614365,4.37590199698,41.5036079879,7.16361805672,48.2698439335,51.7217653969,0.84645074677,4.64708843766,3.72914918611,1.74962241987,1.37640543715
TspDTI,10428056,35.1876511399,0.340771424703,41.3823439383,2.1228980742,39.3614111777,7.55215545448,43.1286233983,56.8711368639,0.121192291257,2.18215168772,2.21960833352,0.846735000272,0.926663608251
PvuII,1084311,50.0658451551,0.731173251954,47.0487710629,5.23558278022,42.0555541722,6.78919608858,49.8979536314,50.099740757,1.33614802395,5.51354731253,4.15627988649,2.13951532356,1.61973824853
PaeI,546781,46.9039081164,0.509272268056,46.0763998749,2.63889930338,43.5622305823,6.82576753764,48.6759781338,51.3194496517,0.797028426372,3.7786609264,3.59083435599,1.64288810328,1.27674516854
Bse3DI,1431239,43.1552591495,0.395733067643,42.0424541254,2.43935499242,39.7159384282,7.40610058837,44.2575279181,55.7407253436,0.269626526387,2.95163840561,2.84879045359,1.1878519241,1.10372900683
