Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BmeT110I OR BsoBI) AND (BsiSI OR MspI),237_1137,80_980,365.0,25.19,974.05,37.31,3.42628838622784,0.967922382864383,0.25|0.2,365
(Bpu10I) AND (BsiSI OR MspI),257_757,100_600,363.0,25.05,1133.318,32.07,3.49444516149786,0.967785236918796,0.25|0.2,363
(BspMI) AND (BsiSI OR MspI),337_1137,180_980,364.0,25.12,1148.543,31.64,3.49904587562351,0.994055021783897,0.25|0.2,364
(BlpI OR Bpu1102I) AND (BsiSI OR MspI),197_1157,40_1000,364.0,25.12,1272.937,28.55,3.54370552650153,0.973253806707434,0.25|0.2,364
(Alw21I OR BsiHKAI) AND (BsiSI OR MspI),317_777,160_620,381.0,26.29,1346.92,26.98,3.54841682599367,0.958943974831602,0.25|0.2,381
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (BsiSI OR MspI),217_1157,60_1000,363.0,25.05,1284.247,28.3,3.54874193484987,0.979284575352484,0.25|0.2,363
(BsiSI OR MspI) AND (XcmI),257_1157,100_1000,367.0,25.33,1320.887,27.51,3.55619960167769,0.984600714407188,0.25|0.2,367
(BsiSI OR MspI) AND (BtgI),277_1157,120_1000,369.0,25.47,1339.648,27.13,3.55996433389245,0.986893553733088,0.25|0.2,369
(BplI) AND (BsiSI OR MspI),197_1157,40_1000,371.0,25.6,1355.013,26.82,3.56256955223832,0.890749594464363,0.25|0.2,371
(BsiSI OR MspI) AND (TaqI),297_1157,140_1000,366.0,25.26,1399.787,25.96,3.58258087045359,0.987271964716466,0.25|0.2,366
(BsiSI OR MspI) AND (Eco147I OR PceI OR SseBI OR StuI),177_1137,20_980,364.0,25.12,1407.319,25.82,3.58729116740116,0.980409467468130,0.25|0.2,364
(BseRI) AND (BsiSI OR MspI),317_917,160_760,374.0,25.81,1458.884,24.91,3.59114915908111,0.985198519825898,0.25|0.2,374
(BsiSI OR MspI) AND (Bsp19I OR NcoI),197_1157,40_1000,365.0,25.19,1429.901,25.41,3.59301310542672,0.975194678242691,0.25|0.2,365
(BmrI OR BmuI) AND (BsiSI OR MspI),317_1157,160_1000,373.0,25.74,1484.684,24.48,3.59992519648427,0.986503352817579,0.25|0.2,373
(AxyI OR Bse21I OR Bsu36I OR Eco81I) AND (BsiSI OR MspI),177_1157,20_1000,366.0,25.26,1466.892,24.77,3.60291705467201,0.988092017449148,0.25|0.2,366
(BanII OR Eco24I) AND (BsiSI OR MspI),317_1037,160_880,365.0,25.19,1465.818,24.79,3.60378718599699,0.976059289779303,0.25|0.2,365
(AccB7I OR PflMI OR Van91I) AND (BsiSI OR MspI),217_997,60_840,378.0,26.09,1518.248,23.94,3.60385091785822,0.969306160864717,0.25|0.2,378
(BsiSI OR MspI) AND (PpuMI OR Psp5II),257_1077,100_920,364.0,25.12,1472.338,24.68,3.60690613741517,0.975700047921027,0.25|0.2,364
(BsiSI OR MspI) AND (EcoO109I),317_937,160_780,375.0,25.88,1559.822,23.3,3.61904377368544,0.979975309729168,0.25|0.2,375
(BsgI) AND (BsiSI OR MspI),237_1157,80_1000,368.0,25.4,1544.47,23.53,3.62293165824949,0.986656761609827,0.25|0.2,368
(BglII) AND (BsiSI OR MspI),177_1157,20_1000,370.0,25.53,1567.627,23.18,3.62704101086795,0.990037498514736,0.25|0.2,370
(BpuEI) AND (BsiSI OR MspI),317_1137,160_980,365.0,25.19,1551.612,23.42,3.62849026527125,0.970927854637357,0.25|0.2,365
(BsiSI OR MspI) AND (PstI),197_1157,40_1000,364.0,25.12,1564.269,23.23,3.63321005508124,0.974562454130726,0.25|0.2,364
(BaeGI OR BseSI) AND (BsiSI OR MspI),297_1157,140_1000,363.0,25.05,1574.354,23.08,3.63719576687558,0.985577297257309,0.25|0.2,363
(AlwNI OR CaiI OR PstNI) AND (BsiSI OR MspI),237_1017,80_860,369.0,25.47,1615.871,22.49,3.64138032058620,0.976558473150665,0.25|0.2,369
(BpmI OR GsuI) AND (BsiSI OR MspI),317_957,160_800,388.0,26.78,1761.058,20.64,3.65694193398758,0.971213572759800,0.25|0.2,388
(BsiSI OR MspI) AND (BstXI),177_1157,20_1000,365.0,25.19,1673.814,21.71,3.66141433157730,0.991405990217346,0.25|0.2,365
(BsiSI OR MspI) AND (PvuII),177_1157,20_1000,368.0,25.4,1703.973,21.33,3.66561489027599,0.988507650397216,0.25|0.2,368
(BsiSI OR MspI) AND (Eam1104I),317_917,160_760,375.0,25.88,1744.798,20.83,3.66771388702686,0.959853057957536,0.25|0.2,375
(BsiSI OR MspI) AND (BtsI),217_1137,60_980,373.0,25.74,1738.518,20.9,3.66847035976521,0.987946688740627,0.25|0.2,373
