Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(AanI OR PsiI) AND (Csp6I OR CviQI),257_677,100_520,5462.0,25.05,165.313,9.65,1.48095531146567,0.949993364045224,0.25|0.2,5462
(Csp6I OR CviQI) AND (DraI),257_617,100_460,5487.0,25.17,173.816,9.18,1.50075479115639,0.961296983102261,0.25|0.2,5487
(Csp6I OR CviQI) AND (SspI),257_657,100_500,5501.0,25.23,175.814,9.08,1.50461180986456,0.949855868723139,0.25|0.2,5501
(Csp6I OR CviQI) AND (NsiI),257_1097,100_940,5672.0,26.02,185.289,8.61,1.51411341527069,0.967372848116743,0.25|0.2,5672
(AanI OR PsiI) AND (CviAII),277_477,120_320,5574.0,25.57,182.504,8.74,1.51510542309406,0.942042426922329,0.25|0.2,5574
(CviAII) AND (NsiI),277_557,120_400,5786.0,26.54,190.87,8.36,1.51835924419272,0.962668046538286,0.25|0.2,5786
(CviAII) AND (DraI),277_477,120_320,5814.0,26.67,196.169,8.13,1.52815535077439,0.953414527087369,0.25|0.2,5814
(ApoI OR XapI) AND (Csp6I OR CviQI),277_497,120_340,5891.0,27.02,198.876,8.02,1.52839335366919,0.963306248946046,0.25|0.2,5891
(CviAII) AND (SspI),277_477,120_320,5611.0,25.74,191.292,8.34,1.53265653912570,0.958576229096465,0.25|0.2,5611
(AseI OR PshBI OR VspI) AND (Csp6I OR CviQI),257_857,100_700,5509.0,25.27,190.264,8.39,1.53828385048872,0.973850897391753,0.25|0.2,5509
(AluBI) AND (Csp6I OR CviQI),297_477,140_320,5530.0,25.37,191.272,8.34,1.53892626770582,0.895862441892398,0.25|0.2,5530
(AanI OR PsiI) AND (ApoI OR XapI),257_617,100_460,5466.0,25.07,189.262,8.43,1.53939379776957,0.954723404757534,0.25|0.2,5466
(XmnI) AND (Csp6I OR CviQI),257_1117,100_960,5479.0,25.13,190.5,8.38,1.54119367957693,0.974420506117783,0.25|0.2,5479
(CviAII) AND (MluCI OR Sse9I OR TasI),277_377,120_220,5930.0,27.2,208.076,7.67,1.54516729713735,0.887309473806427,0.25|0.2,5930
(CviAII) AND (MseI OR SaqAI OR Tru1I),277_377,120_220,5991.0,27.48,210.308,7.59,1.54535647373206,0.887816622878147,0.25|0.2,5991
(CviAII) AND (Tru9I),277_377,120_220,5991.0,27.48,210.308,7.59,1.54535647373206,0.887816622878147,0.25|0.2,5991
(AlwI) AND (DraI),257_1157,100_1000,5454.0,25.02,191.926,8.31,1.54641867850173,0.984389463856692,0.25|0.2,5454
(MboII) AND (MluCI OR Sse9I OR TasI),297_1097,140_940,6550.0,30.04,231.044,6.91,1.54745339478146,0.932886067100032,0.25|0.2,6550
(AseI OR PshBI OR VspI) AND (CviAII),277_517,120_360,5687.0,26.09,200.832,7.94,1.54794968498264,0.960752460041410,0.25|0.2,5687
(ApoI OR XapI) AND (SspI),257_597,100_440,5498.0,25.22,194.357,8.21,1.54839545137713,0.954455584254384,0.25|0.2,5498
(BclI) AND (Csp6I OR CviQI),257_1157,100_1000,5462.0,25.05,193.759,8.23,1.54991018858526,0.985638125585202,0.25|0.2,5462
(AflIII) AND (CviAII),277_557,120_400,5471.0,25.1,194.153,8.22,1.55007739075811,0.972395282553967,0.25|0.2,5471
(ApoI OR XapI) AND (NsiI),297_1057,140_900,5612.0,25.74,199.431,8.0,1.55067500457075,0.963360007278149,0.25|0.2,5612
(DpnII OR MboI OR NdeII) AND (MluCI OR Sse9I OR TasI),297_557,140_400,6462.0,29.64,230.004,6.94,1.55136843521780,0.956882199955013,0.25|0.2,6462
(ApoI OR XapI) AND (ScaI),277_957,120_800,5484.0,25.15,195.264,8.17,1.55152473550882,0.981914007757068,0.25|0.2,5484
(CviAII) AND (PacI),277_597,120_440,5551.0,25.46,198.095,8.05,1.55250228657209,0.973625558373199,0.25|0.2,5551
(AanI OR PsiI) AND (MboII),297_557,140_400,5755.0,26.4,205.397,7.77,1.55254876809700,0.926623735855867,0.25|0.2,5755
(BstKTI) AND (MluCI OR Sse9I OR TasI),297_437,140_280,5463.0,25.06,195.063,8.18,1.55274369871219,0.949745710905668,0.25|0.2,5463
(AsuII OR SfuI) AND (CviAII),277_557,120_400,5458.0,25.04,195.099,8.18,1.55322151204529,0.967600307844006,0.25|0.2,5458
(CviAII) AND (MssI OR PmeI),277_637,120_480,5711.0,26.2,204.285,7.81,1.55352431877120,0.969293699981170,0.25|0.2,5711
(AflIII) AND (Csp6I OR CviQI),277_1157,120_1000,5459.0,25.04,195.428,8.16,1.55387369319512,0.993854348222560,0.25|0.2,5459
(AlwI) AND (ApoI OR XapI),317_937,160_780,6212.0,28.49,222.445,7.17,1.55399120129765,0.977060872635086,0.25|0.2,6212
(CviAII),277_637,120_480,5658.0,25.95,202.693,7.87,1.55417580747699,0.971100884165094,0.25|0.2,5658
(CviAII) AND (SmiI OR SwaI),277_637,120_480,5813.0,26.66,208.541,7.65,1.55479112879114,0.973698676977775,0.25|0.2,5813
(ApoI OR XapI) AND (AluBI),297_517,140_360,6639.0,30.45,238.193,6.7,1.55482632567010,0.922624961734332,0.25|0.2,6639
(AluBI) AND (DraI),297_537,140_380,5666.0,25.99,203.409,7.84,1.55509359454717,0.923556897764041,0.25|0.2,5666
(ApoI OR XapI) AND (DpnII OR MboI OR NdeII),357_1137,200_980,5739.0,26.32,206.122,7.74,1.55528812301816,0.969410019281766,0.25|0.2,5739
(AluBI) AND (ScaI),297_697,140_540,5735.0,26.31,206.105,7.74,1.55555510542776,0.875714004664619,0.25|0.2,5735
(ApoI OR XapI) AND (BstKTI),357_1137,200_980,5732.0,26.29,206.175,7.74,1.55592982150986,0.975505619229707,0.25|0.2,5732
(ApoI OR XapI) AND (PflFI OR PsyI OR Tth111I),277_1057,120_900,5478.0,25.13,197.554,8.08,1.55706379962187,0.984265216865584,0.25|0.2,5478
(CviAII) AND (Eco32I OR EcoRV),277_577,120_420,5519.0,25.32,199.046,8.02,1.55709306042264,0.974087285890366,0.25|0.2,5519
(BclI) AND (CviAII),277_577,120_420,5660.0,25.96,204.978,7.78,1.55889082015374,0.971237796189885,0.25|0.2,5660
(AanI OR PsiI) AND (BstKTI),297_817,140_660,6710.0,30.78,243.099,6.56,1.55906065218576,0.935519445769718,0.25|0.2,6710
(ApoI OR XapI) AND (AseI OR PshBI OR VspI),277_817,120_660,5551.0,25.46,201.161,7.93,1.55917255856216,0.963741402589269,0.25|0.2,5551
(AluBI) AND (SspI),297_637,140_480,6466.0,29.66,234.375,6.81,1.55927558479626,0.956388951769454,0.25|0.2,6466
(CviAII) AND (NdeI),277_577,120_420,5547.0,25.44,201.072,7.94,1.55929343185797,0.978294429829270,0.25|0.2,5547
(AlwI) AND (MluCI OR Sse9I OR TasI),297_497,140_340,6069.0,27.84,219.997,7.25,1.55929962109388,0.954746563086285,0.25|0.2,6069
(Csp6I OR CviQI) AND (CviAII),277_477,120_320,6117.0,28.06,221.836,7.19,1.55949354523181,0.962771635336986,0.25|0.2,6117
(AanI OR PsiI) AND (DpnII OR MboI OR NdeII),297_817,140_660,6699.0,30.73,243.098,6.56,1.55977140806772,0.938685289221475,0.25|0.2,6699
(ApoI OR XapI) AND (CviAII),317_577,160_420,5929.0,27.2,215.321,7.41,1.56010493776633,0.991503787514829,0.25|0.2,5929
(AanI OR PsiI) AND (AluBI),297_637,140_480,6134.0,28.14,223.21,7.15,1.56096987582129,0.900804351049467,0.25|0.2,6134
(CviAII) AND (PflFI OR PsyI OR Tth111I),277_637,120_480,5714.0,26.21,208.318,7.66,1.56178656132748,0.970822911557074,0.25|0.2,5714
(ApoI OR XapI) AND (XmnI),277_1017,120_860,5818.0,26.69,212.675,7.5,1.56294272456590,0.977640900430019,0.25|0.2,5818
(ApoI OR XapI) AND (PacI),277_1157,120_1000,5452.0,25.01,199.504,8.0,1.56339576043162,0.988579778541566,0.25|0.2,5452
(ApoI OR XapI) AND (DraI),257_697,100_540,5781.0,26.52,211.579,7.54,1.56346959078997,0.970198207438143,0.25|0.2,5781
(Csp6I OR CviQI) AND (Tru9I),297_457,140_300,5529.0,25.36,202.399,7.88,1.56356177250000,0.970564730415362,0.25|0.2,5529
(Csp6I OR CviQI) AND (MseI OR SaqAI OR Tru1I),297_457,140_300,5529.0,25.36,202.399,7.88,1.56356177250000,0.970564730415362,0.25|0.2,5529
(ApoI OR XapI) AND (SmiI OR SwaI),257_1037,100_880,5587.0,25.63,204.654,7.8,1.56384156606945,0.963955344288147,0.25|0.2,5587
(ApoI OR XapI) AND (AsuII OR SfuI),277_1017,120_860,5491.0,25.19,201.171,7.93,1.56391393104568,0.973856084012403,0.25|0.2,5491
(AluBI) AND (BstKTI),337_1157,180_1000,5728.0,26.27,210.147,7.59,1.56452018521893,0.986692011170747,0.25|0.2,5728
(AluBI) AND (DpnII OR MboI OR NdeII),337_1157,180_1000,5726.0,26.26,210.142,7.59,1.56466151759859,0.991179090449213,0.25|0.2,5726
(XmnI) AND (CviAII),277_557,120_400,5456.0,25.03,200.358,7.96,1.56493232620585,0.960513360062408,0.25|0.2,5456
(AluBI) AND (MluCI OR Sse9I OR TasI),297_997,140_840,6478.0,29.71,238.475,6.69,1.56600191378528,0.958920070445857,0.25|0.2,6478
(ApoI OR XapI),257_1037,100_880,5471.0,25.1,201.524,7.92,1.56626006000182,0.966354919220043,0.25|0.2,5471
(Csp6I OR CviQI) AND (NdeI),217_1097,60_940,5455.0,25.02,201.419,7.92,1.56730568053830,0.952512722238220,0.25|0.2,5455
(AluBI) AND (AseI OR PshBI OR VspI),297_597,140_440,5745.0,26.35,212.144,7.52,1.56734072024194,0.916014941972140,0.25|0.2,5745
(NsiI) AND (MseI OR SaqAI OR Tru1I),277_477,120_320,6457.0,29.62,238.514,6.69,1.56748308939923,0.955424873576454,0.25|0.2,6457
(NsiI) AND (Tru9I),277_477,120_320,6457.0,29.62,238.514,6.69,1.56748308939923,0.955424873576454,0.25|0.2,6457
(Csp6I OR CviQI) AND (MluCI OR Sse9I OR TasI),297_1117,140_960,6981.0,32.02,258.165,6.18,1.56797972565139,0.961603237280775,0.25|0.2,6981
(AanI OR PsiI) AND (TaqI),297_817,140_660,5514.0,25.29,204.001,7.82,1.56816553454545,0.935077516724767,0.25|0.2,5514
(ApoI OR XapI) AND (MssI OR PmeI),257_1037,100_880,5502.0,25.24,203.579,7.84,1.56821239068328,0.966522482807065,0.25|0.2,5502
(AsuII OR SfuI) AND (Csp6I OR CviQI),217_1157,60_1000,5462.0,25.05,202.201,7.89,1.56843160329206,0.968763100915367,0.25|0.2,5462
(AluBI) AND (NdeI),297_657,140_500,5503.0,25.24,203.892,7.83,1.56880067312385,0.927557701929719,0.25|0.2,5503
(ScaI) AND (CviAII),277_637,120_480,5770.0,26.47,213.791,7.46,1.56881360552522,0.959741890142401,0.25|0.2,5770
(TaqI) AND (Tru9I),317_637,160_480,5599.0,25.68,207.611,7.69,1.56913989282181,0.975710221308208,0.25|0.2,5599
(MseI OR SaqAI OR Tru1I) AND (TaqI),317_637,160_480,5599.0,25.68,207.611,7.69,1.56913989282181,0.975710221308208,0.25|0.2,5599
(AluBI) AND (Tru9I),317_917,160_760,5602.0,25.7,207.756,7.68,1.56921047058840,0.983986593838448,0.25|0.2,5602
(AluBI) AND (MseI OR SaqAI OR Tru1I),317_917,160_760,5602.0,25.7,207.756,7.68,1.56921047058840,0.983986593838448,0.25|0.2,5602
(AlwI) AND (Csp6I OR CviQI),277_1137,120_980,6420.0,29.45,238.284,6.7,1.56955985378664,0.965161640847740,0.25|0.2,6420
(AanI OR PsiI) AND (MseI OR SaqAI OR Tru1I),277_477,120_320,6356.0,29.15,235.938,6.76,1.56961400513213,0.953302077665688,0.25|0.2,6356
(AanI OR PsiI) AND (Tru9I),277_477,120_320,6356.0,29.15,235.938,6.76,1.56961400513213,0.953302077665688,0.25|0.2,6356
(ApoI OR XapI) AND (AflIII),317_1157,160_1000,5499.0,25.22,204.264,7.81,1.56990811254524,0.993095831376134,0.25|0.2,5499
(ScaI) AND (MluCI OR Sse9I OR TasI),297_497,140_340,5492.0,25.19,204.101,7.82,1.57011460399760,0.953581211486301,0.25|0.2,5492
(MboII) AND (Tru9I),297_857,140_700,6726.0,30.85,250.333,6.37,1.57076124101725,0.969435565913427,0.25|0.2,6726
(MboII) AND (MseI OR SaqAI OR Tru1I),297_857,140_700,6726.0,30.85,250.333,6.37,1.57076124101725,0.969435565913427,0.25|0.2,6726
(MluCI OR Sse9I OR TasI) AND (MseI OR SaqAI OR Tru1I),297_637,140_480,5603.0,25.7,208.587,7.65,1.57086661544750,0.940186636555839,0.25|0.2,5603
(MluCI OR Sse9I OR TasI) AND (Tru9I),297_637,140_480,5603.0,25.7,208.587,7.65,1.57086661544750,0.940186636555839,0.25|0.2,5603
(AluBI) AND (XmnI),297_697,140_540,5725.0,26.26,213.13,7.49,1.57086909393198,0.910986448718563,0.25|0.2,5725
(ApoI OR XapI) AND (NdeI),277_957,120_800,5456.0,25.03,203.194,7.85,1.57103651811817,0.978262173892975,0.25|0.2,5456
(AluBI) AND (NsiI),297_697,140_540,5764.0,26.44,214.717,7.43,1.57114245847927,0.902477796426211,0.25|0.2,5764
(AlwI) AND (CviAII),277_497,120_340,5663.0,25.98,211.008,7.56,1.57125235950051,0.953731794798394,0.25|0.2,5663
(MluCI OR Sse9I OR TasI) AND (TaqI),297_777,140_620,6683.0,30.65,249.341,6.4,1.57182223579051,0.969365677165952,0.25|0.2,6683
(NsiI) AND (MboII),297_617,140_460,5493.0,25.2,205.485,7.76,1.57297052570658,0.932421795074071,0.25|0.2,5493
(BstKTI) AND (MboII),337_1097,180_940,5590.0,25.64,209.433,7.62,1.57363330588778,0.989126291570762,0.25|0.2,5590
(AlwI) AND (AluBI),297_697,140_540,6271.0,28.76,234.962,6.79,1.57366082947615,0.951149543836363,0.25|0.2,6271
(SspI) AND (Tru9I),277_477,120_320,6295.0,28.87,235.89,6.76,1.57371379594204,0.963356990332310,0.25|0.2,6295
(MseI OR SaqAI OR Tru1I) AND (SspI),277_477,120_320,6295.0,28.87,235.89,6.76,1.57371379594204,0.963356990332310,0.25|0.2,6295
(AsuII OR SfuI) AND (MseI OR SaqAI OR Tru1I),277_477,120_320,6334.0,29.05,237.538,6.72,1.57405503648372,0.944470271618890,0.25|0.2,6334
(AsuII OR SfuI) AND (Tru9I),277_477,120_320,6334.0,29.05,237.538,6.72,1.57405503648372,0.944470271618890,0.25|0.2,6334
(DpnII OR MboI OR NdeII) AND (MboII),337_1097,180_940,5585.0,25.62,209.491,7.62,1.57414219240774,0.982759939463618,0.25|0.2,5585
(BstKTI) AND (NsiI),297_817,140_660,5874.0,26.94,220.411,7.24,1.57429932276652,0.953042317446130,0.25|0.2,5874
