Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BsiSI OR MspI) AND (SbfI OR SdaI OR Sse8387I),237_657,80_500,6657.0,25.4,772.23,53.32,2.06446811236612,0.947044027351928,0.25|0.2,6657
(BssAI) AND (BsiSI OR MspI),217_557,60_400,6614.0,25.23,770.73,53.43,2.06643807327518,0.934312970201894,0.25|0.2,6614
(CspAI) AND (BsiSI OR MspI),217_557,60_400,6617.0,25.25,771.22,53.39,2.06651714892884,0.934496213661876,0.25|0.2,6617
(BsiSI OR MspI),217_557,60_400,6617.0,25.25,771.253,53.39,2.06653573170845,0.934496958297644,0.25|0.2,6617
(BsaWI) AND (BsiSI OR MspI),217_557,60_400,6614.0,25.23,771.033,53.41,2.06660877555525,0.934603672762745,0.25|0.2,6614
(BsiSI OR MspI) AND (MssI),237_677,80_520,6557.0,25.02,768.772,53.56,2.06909237352917,0.947931502765347,0.25|0.2,6557
(SfuI) AND (BsiSI OR MspI),237_657,80_500,6572.0,25.07,778.434,52.9,2.07352424178030,0.945208037105408,0.25|0.2,6572
(BsiSI OR MspI) AND (Sfr274I),237_657,80_500,6649.0,25.37,788.389,52.23,2.07398422320316,0.947318467931987,0.25|0.2,6649
(BsiSI OR MspI) AND (PacI),217_557,60_400,6658.0,25.4,810.744,50.79,2.08553995249225,0.940739683657489,0.25|0.2,6658
(BsiSI OR MspI) AND (PasI),237_517,80_360,6694.0,25.54,820.861,50.16,2.08858391433058,0.947285582777101,0.25|0.2,6694
(Eam1105I) AND (BsiSI OR MspI),217_517,60_360,6616.0,25.24,812.357,50.69,2.08915143055046,0.935744608557436,0.25|0.2,6616
(BsiSI OR MspI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),217_497,60_340,6564.0,25.04,806.716,51.04,2.08955209822597,0.934585675716062,0.25|0.2,6564
(BauI OR BssSI) AND (BsiSI OR MspI),237_617,80_460,6634.0,25.31,816.023,50.46,2.08992693254137,0.910201917828347,0.25|0.2,6634
(BsiSI OR MspI) AND (KpnI),237_637,80_480,6567.0,25.05,810.343,50.81,2.09130186861142,0.952272499299896,0.25|0.2,6567
(BsiSI OR MspI) AND (SmiI OR SwaI),197_457,40_300,6570.0,25.07,813.778,50.6,2.09294057522543,0.931067315534081,0.25|0.2,6570
