Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BmeT110I OR BsoBI) AND (BsaWI),217_697,60_540,706.0,25.12,336.88,122.23,2.67867052736041,0.980856885600774,0.25|0.2,706
(BssAI) AND (BsiSI OR MspI),297_537,140_380,717.0,25.52,400.86,102.72,2.74747356646954,0.885702918633855,0.25|0.2,717
(BsaWI) AND (BsiSI OR MspI),297_537,140_380,717.0,25.52,400.966,102.69,2.74758839241769,0.885783729326283,0.25|0.2,717
(CspAI) AND (BsiSI OR MspI),297_537,140_380,717.0,25.52,401.046,102.67,2.74767503341226,0.885772840095099,0.25|0.2,717
(BsiSI OR MspI),297_537,140_380,717.0,25.52,401.058,102.67,2.74768802807077,0.885765777004741,0.25|0.2,717
(BsiSI OR MspI) AND (SbfI OR SdaI OR Sse8387I),297_517,140_360,707.0,25.16,397.027,103.71,2.74940062836241,0.862250319931788,0.25|0.2,707
(BsaWI) AND (BtgI),217_717,60_560,704.0,25.05,399.139,103.16,2.75355150576866,0.951333060173292,0.25|0.2,704
(BsiSI OR MspI) AND (MssI),297_537,140_380,717.0,25.52,408.796,100.73,2.75598748198130,0.886672564590424,0.25|0.2,717
(SfuI) AND (BsiSI OR MspI),297_537,140_380,717.0,25.52,423.467,97.24,2.77130041655191,0.887946812470809,0.25|0.2,717
(BsiSI OR MspI) AND (SmiI OR SwaI),297_517,140_360,704.0,25.05,416.159,98.95,2.77168663213269,0.871034484231431,0.25|0.2,704
(BsiSI OR MspI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),297_497,140_340,715.0,25.44,423.193,97.3,2.77223243365678,0.880581927295722,0.25|0.2,715
(BsiSI OR MspI) AND (KpnI),297_517,140_360,722.0,25.69,428.741,96.04,2.77365781899988,0.882961914241503,0.25|0.2,722
(BsiSI OR MspI) AND (PacI),297_537,140_380,717.0,25.52,429.283,95.92,2.77722453469289,0.889496145809589,0.25|0.2,717
(Eam1105I) AND (BsiSI OR MspI),297_517,140_360,724.0,25.77,433.648,94.96,2.77739878155221,0.855099684827383,0.25|0.2,724
(BsiSI OR MspI) AND (Sfr274I),257_477,100_320,852.0,30.32,510.87,80.6,2.77787080543563,0.943846298149610,0.25|0.2,852
(BmeT110I OR BsoBI) AND (BssAI),197_717,40_560,705.0,25.09,423.208,97.3,2.77836475168369,0.918595868743869,0.25|0.2,705
(BssAI) AND (BtgI),197_697,40_540,741.0,26.37,463.293,88.88,2.79603753041865,0.934888241889949,0.25|0.2,741
(BsiSI OR MspI) AND (CsiI OR MabI OR SexAI),297_517,140_360,706.0,25.12,441.539,93.26,2.79616436866643,0.876709712397751,0.25|0.2,706
(AhlI OR BcuI OR SpeI) AND (BsiSI OR MspI),297_517,140_360,705.0,25.09,452.025,91.09,2.80697333786821,0.875396713768380,0.25|0.2,705
(BmtI OR BspOI) AND (BsiSI OR MspI),297_537,140_380,709.0,25.23,455.095,90.48,2.80745582887894,0.881368685399962,0.25|0.2,709
(BsiSI OR MspI) AND (BspQI OR LguI OR SapI),297_517,140_360,709.0,25.23,457.139,90.08,2.80940203874743,0.870763558629365,0.25|0.2,709
(BsiSI OR MspI) AND (Eco32I),297_517,140_360,704.0,25.05,458.287,89.85,2.81356487886126,0.874166004357165,0.25|0.2,704
(BlpI OR Bpu1102I) AND (BsiSI OR MspI),297_497,140_340,705.0,25.09,465.578,88.44,2.81980333337823,0.891449826101735,0.25|0.2,705
(BsiSI OR MspI) AND (CspCI),297_537,140_380,722.0,25.69,484.231,85.04,2.82651539153852,0.888946195426687,0.25|0.2,722
(BsiSI OR MspI) AND (PaeI OR SphI),297_517,140_360,745.0,26.51,500.779,82.23,2.82748983584197,0.885830507952349,0.25|0.2,745
(BauI OR BssSI) AND (BsiSI OR MspI),257_477,100_320,824.0,29.32,557.507,73.86,2.83032311301373,0.951385739776456,0.25|0.2,824
(BamHI) AND (BsiSI OR MspI),297_537,140_380,714.0,25.41,483.659,85.14,2.83084106182594,0.898252556360445,0.25|0.2,714
(BmeT110I OR BsoBI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),197_977,40_820,719.0,25.59,491.668,83.75,2.83494305295779,0.935544794236066,0.25|0.2,719
(BmeT110I OR BsoBI) AND (PpuMI OR Psp5II),197_477,40_320,717.0,25.52,491.774,83.73,2.83624640827329,0.892158708341559,0.25|0.2,717
(BsiSI OR MspI) AND (NmeAIII),297_517,140_360,758.0,26.98,531.829,77.43,2.84610280956843,0.868544024364703,0.25|0.2,758
(BmeT110I OR BsoBI) AND (BtgI),197_457,40_300,718.0,25.55,510.705,80.63,2.85204566554545,0.912039447551181,0.25|0.2,718
(AspA2I OR AvrII OR BlnI OR XmaJI) AND (BsiSI OR MspI),297_517,140_360,713.0,25.37,509.874,80.76,2.85437333670588,0.882592349593509,0.25|0.2,713
(BmcAI OR ScaI OR ZrmI) AND (BsiSI OR MspI),297_537,140_380,719.0,25.59,517.554,79.56,2.85722677906690,0.885559111384094,0.25|0.2,719
(BmeT110I OR BsoBI) AND (BsiSI OR MspI),237_377,80_220,749.0,26.65,540.011,76.25,2.85792078877284,0.964312558070568,0.25|0.2,749
(AflII OR BfrI OR BspTI OR BstAFI OR MspCI OR Vha464I) AND (BsiSI OR MspI),297_517,140_360,704.0,25.05,510.351,80.68,2.86029631093782,0.881724426400568,0.25|0.2,704
(BsiSI OR MspI) AND (MfeI OR MunI),297_537,140_380,711.0,25.3,516.847,79.67,2.86149239905706,0.900469800677941,0.25|0.2,711
(BsiSI OR MspI) AND (BtgI),217_317,60_160,820.0,29.18,598.983,68.75,2.86360064427778,0.918934234367627,0.25|0.2,820
(BsiSI OR MspI) AND (PasI),257_417,100_260,744.0,26.48,545.82,75.44,2.86547650954854,0.948422795623987,0.25|0.2,744
(AjuI) AND (BsiSI OR MspI),237_417,80_260,771.0,27.44,565.651,72.8,2.86549418118918,0.964923182816296,0.25|0.2,771
(BglII) AND (BsiSI OR MspI),297_517,140_360,740.0,26.33,544.224,75.66,2.86654597029956,0.863052680994535,0.25|0.2,740
(BsiSI OR MspI) AND (SacI OR SstI),297_537,140_380,714.0,25.41,544.293,75.65,2.88213453723698,0.887874875592088,0.25|0.2,714
(BsiSI OR MspI) AND (BstENI OR EcoNI OR XagI),257_417,100_260,743.0,26.44,568.254,72.46,2.88355368769198,0.953389482219395,0.25|0.2,743
(BmeT110I OR BsoBI) AND (BlpI OR Bpu1102I),197_877,40_720,716.0,25.48,552.045,74.59,2.88706145841977,0.948526493639294,0.25|0.2,716
(BsiSI OR MspI) AND (Bsp19I OR NcoI),297_517,140_360,718.0,25.55,559.264,73.63,2.89149242031295,0.890363558855949,0.25|0.2,718
(BciVI OR BfuI) AND (BsiSI OR MspI),297_537,140_380,716.0,25.48,560.441,73.47,2.89361687700828,0.896803916098059,0.25|0.2,716
(BsiSI OR MspI) AND (Bsp1407I OR BsrGI),297_517,140_360,711.0,25.3,556.858,73.95,2.89387486252524,0.884772446858755,0.25|0.2,711
(BclI OR FbaI OR Ksp22I) AND (BsiSI OR MspI),297_537,140_380,717.0,25.52,566.178,72.73,2.89743383429200,0.900044764507978,0.25|0.2,717
(BsiSI OR MspI) AND (XcmI),237_417,80_260,847.0,30.14,670.138,61.45,2.89828083485845,0.959096502500315,0.25|0.2,847
(BsiSI OR MspI) AND (PvuII),217_317,60_160,733.0,26.09,585.535,70.32,2.90244888523278,0.879446462484702,0.25|0.2,733
(BsiSI OR MspI) AND (PpuMI OR Psp5II),257_457,100_300,910.0,32.38,737.842,55.81,2.90892198051207,0.921460338180709,0.25|0.2,910
(BsiSI OR MspI) AND (BspHI OR CciI OR PagI),297_517,140_360,717.0,25.52,586.331,70.23,2.91262370077698,0.904234799290366,0.25|0.2,717
(BsiSI OR MspI) AND (PstI),217_317,60_160,772.0,27.47,632.803,65.07,2.91365122906722,0.880350073863391,0.25|0.2,772
(BsiSI OR MspI) AND (PflFI OR PsyI OR Tth111I),297_537,140_380,724.0,25.77,593.759,69.35,2.91387163937593,0.890333468440436,0.25|0.2,724
(BsiSI OR MspI) AND (XbaI),237_457,80_300,844.0,30.04,699.963,58.83,2.91873263721643,0.974373810999381,0.25|0.2,844
(BsiSI OR MspI) AND (HindIII),297_537,140_380,725.0,25.8,602.717,68.32,2.91977543460999,0.904594562047318,0.25|0.2,725
(BsiSI OR MspI) AND (TaqI),237_357,80_200,733.0,26.09,611.633,67.32,2.92138693462249,0.909694376177348,0.25|0.2,733
(Eam1105I) AND (BmeT110I OR BsoBI),177_1157,20_1000,706.0,25.12,589.961,69.8,2.92201860204014,0.968332207555157,0.25|0.2,706
(AccB7I OR PflMI OR Van91I) AND (BsiSI OR MspI),297_537,140_380,796.0,28.33,667.617,61.68,2.92361431915539,0.900551568490122,0.25|0.2,796
(BsiSI OR MspI) AND (FauNDI OR NdeI),237_417,80_260,745.0,26.51,625.156,65.87,2.92383213097241,0.971902745666143,0.25|0.2,745
(BmeT110I OR BsoBI) AND (PasI),197_797,40_640,703.0,25.02,594.99,69.21,2.92755434158047,0.938554384096480,0.25|0.2,703
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (BsiSI OR MspI),297_497,140_340,703.0,25.02,595.31,69.17,2.92778785285923,0.877788472829729,0.25|0.2,703
(BsiSI OR MspI) AND (PciI OR PscI),297_517,140_360,721.0,25.66,615.062,66.95,2.93098363138235,0.885229987985509,0.25|0.2,721
