Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BmeT110I OR BsoBI) AND (BsiSI OR MspI),237_717,80_560,1007.0,25.85,690.088,52.66,2.83587500493368,0.942277113182702,0.25|0.2,1007
(BsiSI OR MspI) AND (TaqI),237_577,80_420,981.0,25.18,908.205,40.01,2.96651488114121,0.930169199998956,0.25|0.2,981
(BsiSI OR MspI) AND (NmeAIII),197_1137,40_980,1017.0,26.1,952.495,38.15,2.97154175165787,0.976981226581682,0.25|0.2,1017
(Eam1105I) AND (BsiSI OR MspI),177_1117,20_960,1007.0,25.85,1064.035,34.15,3.02392644317314,0.988206536068747,0.25|0.2,1007
(BauI OR BssSI) AND (BsiSI OR MspI),177_1137,20_980,1014.0,26.03,1081.345,33.61,3.02792632146482,0.995240080278176,0.25|0.2,1014
(BsiSI OR MspI) AND (KpnI),177_1137,20_980,981.0,25.18,1077.345,33.73,3.04068579304272,0.992648749266748,0.25|0.2,981
(BsiSI OR MspI) AND (MfeI OR MunI),177_1117,20_960,1086.0,27.87,1205.692,30.14,3.04540655404041,0.984305111006121,0.25|0.2,1086
(BplI) AND (BsiSI OR MspI),237_1157,80_1000,1044.0,26.8,1185.396,30.66,3.05516295875602,0.973744595771769,0.25|0.2,1044
(BsiSI OR MspI) AND (SacI OR SstI),177_897,20_740,1011.0,25.95,1166.382,31.16,3.06208965325585,0.990022106658567,0.25|0.2,1011
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (BsiSI OR MspI),237_1117,80_960,1024.0,26.28,1188.16,30.59,3.06457497090625,0.955750051838231,0.25|0.2,1024
(BsiSI OR MspI) AND (PflFI OR PsyI OR Tth111I),177_1157,20_1000,989.0,25.39,1163.514,31.23,3.07057532171200,0.994934589351701,0.25|0.2,989
(AflII OR BfrI OR BspTI OR BstAFI OR MspCI OR Vha464I) AND (BsiSI OR MspI),177_1137,20_980,1085.0,27.85,1288.783,28.2,3.07475006059930,0.991308678850658,0.25|0.2,1085
(BclI OR FbaI OR Ksp22I) AND (BsiSI OR MspI),177_917,20_760,975.0,25.03,1164.703,31.2,3.07721057841422,0.992777176881636,0.25|0.2,975
(BsiSI OR MspI) AND (BstXI),177_677,20_520,998.0,25.62,1202.135,30.23,3.08082270047491,0.987642023299991,0.25|0.2,998
(AxyI OR Bse21I OR Bsu36I OR Eco81I) AND (BsiSI OR MspI),237_1137,80_980,983.0,25.23,1185.835,30.65,3.08147074659690,0.959282184504508,0.25|0.2,983
(BamHI) AND (BsiSI OR MspI),177_1117,20_960,1012.0,25.98,1227.593,29.6,3.08387389082228,0.990549683309124,0.25|0.2,1012
(AspA2I OR AvrII OR BlnI OR XmaJI) AND (BsiSI OR MspI),177_1137,20_980,1082.0,27.77,1313.995,27.66,3.08436645188355,0.993625915081556,0.25|0.2,1082
(BsiSI OR MspI) AND (PciI OR PscI),177_797,20_640,1065.0,27.34,1307.619,27.79,3.08913161457653,0.994049749658891,0.25|0.2,1065
(BsiSI OR MspI) AND (Eco147I OR PceI OR SseBI OR StuI),217_1137,60_980,982.0,25.21,1207.903,30.09,3.08992057211391,0.971090014044501,0.25|0.2,982
(BsiSI OR MspI) AND (Bsp19I OR NcoI),237_1117,80_960,997.0,25.59,1230.907,29.52,3.09153008315535,0.962862528972664,0.25|0.2,997
(BsiSI OR MspI) AND (BtgI),237_857,80_700,982.0,25.21,1215.582,29.9,3.09267277275673,0.968468869260989,0.25|0.2,982
(BsiSI OR MspI) AND (PvuII),237_977,80_820,997.0,25.59,1240.427,29.3,3.09487605251338,0.952929267782281,0.25|0.2,997
(BsiSI OR MspI) AND (BstENI OR EcoNI OR XagI),237_1137,80_980,988.0,25.36,1254.464,28.97,3.10370125806923,0.969785064298012,0.25|0.2,988
(BlpI OR Bpu1102I) AND (BsiSI OR MspI),177_1137,20_980,1072.0,27.52,1362.878,26.66,3.10426219571770,0.992895768721276,0.25|0.2,1072
(AflIII) AND (BsiSI OR MspI),237_857,80_700,1034.0,26.54,1322.643,27.48,3.10692209904082,0.962027258407031,0.25|0.2,1034
(BmcAI OR ScaI OR ZrmI) AND (BsiSI OR MspI),177_1137,20_980,999.0,25.64,1311.115,27.72,3.11807529780051,0.989492875488538,0.25|0.2,999
(AseI OR PshBI OR VspI) AND (BsiSI OR MspI),237_1117,80_960,1019.0,26.16,1372.021,26.49,3.12918657467795,0.937476855019632,0.25|0.2,1019
(BsiSI OR MspI) AND (PstI),237_1157,80_1000,1011.0,25.95,1367.721,26.57,3.13124635954303,0.979956078216225,0.25|0.2,1011
(BsiSI OR MspI) AND (XbaI),177_997,20_840,981.0,25.18,1356.879,26.78,3.14087211369519,0.976614826264986,0.25|0.2,981
(BciVI OR BfuI) AND (BsiSI OR MspI),177_1137,20_980,1056.0,27.1,1463.711,24.83,3.14179141843228,0.992127493151154,0.25|0.2,1056
(XmnI) AND (BsiSI OR MspI),177_997,20_840,986.0,25.31,1377.312,26.39,3.14515541640498,0.976769091534475,0.25|0.2,986
(BsiSI OR MspI) AND (BspHI OR CciI OR PagI),177_1117,20_960,1052.0,27.0,1482.242,24.52,3.14890337521869,0.987550362413542,0.25|0.2,1052
(BseMI OR BsrDI) AND (BsiSI OR MspI),217_997,60_840,1014.0,26.03,1450.447,25.05,3.15546390911133,0.981772491102304,0.25|0.2,1014
(BsiSI OR MspI) AND (PpuMI OR Psp5II),177_637,20_480,981.0,25.18,1421.26,25.57,3.16100452602704,0.982543642850893,0.25|0.2,981
(BsiSI OR MspI) AND (HindIII),177_1117,20_960,1022.0,26.23,1482.131,24.52,3.16143569520143,0.987397022818715,0.25|0.2,1022
(BsiSI OR MspI) AND (Bsp1407I OR BsrGI),177_1137,20_980,1016.0,26.08,1507.982,24.1,3.17150244966853,0.989618329845975,0.25|0.2,1016
(BsiSI OR MspI) AND (FalI),197_1137,40_980,1018.0,26.13,1512.958,24.02,3.17207909409289,0.825600802550515,0.25|0.2,1018
(BspMI) AND (BsiSI OR MspI),177_757,20_600,979.0,25.13,1455.152,24.97,3.17212566874449,0.993574956468228,0.25|0.2,979
(Alw21I OR BsiHKAI) AND (BsiSI OR MspI),237_717,80_560,1127.0,28.93,1698.748,21.39,3.17820504238349,0.951208681049803,0.25|0.2,1127
(BglII) AND (BsiSI OR MspI),177_1137,20_980,1028.0,26.39,1553.288,23.4,3.17925887243738,0.987299018387167,0.25|0.2,1028
(BsiSI OR MspI) AND (FauNDI OR NdeI),177_1117,20_960,1002.0,25.72,1518.27,23.94,3.18048128921343,0.995530280109321,0.25|0.2,1002
(Bpu10I) AND (BsiSI OR MspI),177_677,20_520,978.0,25.1,1488.051,24.42,3.18227896126031,0.988278723533381,0.25|0.2,978
(BsiSI OR MspI) AND (EcoT22I OR Mph1103I OR NsiI OR Zsp2I),177_1117,20_960,990.0,25.41,1525.492,23.82,3.18777473985550,0.985510000557416,0.25|0.2,990
(BsiSI OR MspI) AND (BsmI OR Mva1269I),177_1137,20_980,1089.0,27.95,1702.499,21.35,3.19405898573677,0.989049163083923,0.25|0.2,1089
(BanII OR Eco24I) AND (BsiSI OR MspI),237_757,80_600,980.0,25.15,1544.584,23.53,3.19758545607381,0.967811823808346,0.25|0.2,980
(BsiSI OR MspI) AND (BtsI),237_1097,80_940,1015.0,26.05,1607.263,22.61,3.19962090489572,0.948538970884525,0.25|0.2,1015
(BmeT110I OR BsoBI) AND (BssT1I OR Eco130I OR EcoT14I OR ErhI OR StyI),277_777,120_620,1028.0,26.39,1628.757,22.31,3.19986318055707,0.935165357120438,0.25|0.2,1028
(BsiSI OR MspI) AND (SmlI OR SmoI),177_477,20_320,987.0,25.33,1569.649,23.15,3.20148539502262,0.984575546230679,0.25|0.2,987
(BmrI OR BmuI) AND (BsiSI OR MspI),237_897,80_740,981.0,25.18,1579.703,23.0,3.20690643553293,0.966376378754117,0.25|0.2,981
(BsgI) AND (BsiSI OR MspI),217_1117,60_960,992.0,25.46,1600.813,22.7,3.20782893033888,0.983223265226456,0.25|0.2,992
(BsaWI) AND (BshFI OR BsuRI OR HaeIII),297_477,140_320,1030.0,26.44,1671.207,21.75,3.21019302135217,0.896602473048061,0.25|0.2,1030
(BbvI OR BseXI OR Lsp1109I) AND (BsiSI OR MspI),237_417,80_260,998.0,25.62,1621.327,22.41,3.21074007379151,0.937945385755317,0.25|0.2,998
(BsiSI OR MspI) AND (XcmI),177_1117,20_960,1002.0,25.72,1634.575,22.23,3.21253713078735,0.981255291391775,0.25|0.2,1002
(BpmI OR GsuI) AND (BsiSI OR MspI),237_677,80_520,1044.0,26.8,1729.19,21.02,3.21914221665398,0.939719351715166,0.25|0.2,1044
(AanI OR PsiI) AND (BsiSI OR MspI),177_1117,20_960,1083.0,27.8,1797.742,20.21,3.22009890818227,0.991002490247546,0.25|0.2,1083
(AccB7I OR PflMI OR Van91I) AND (BsiSI OR MspI),177_1097,20_940,1113.0,28.57,1865.463,19.48,3.22429147523609,0.987550557886851,0.25|0.2,1113
(Bse1I OR BseNI OR BsrI) AND (BsiSI OR MspI),277_437,120_280,1106.0,28.39,1865.111,19.48,3.22694955649666,0.915372833821040,0.25|0.2,1106
(AlwNI OR CaiI OR PstNI) AND (BsiSI OR MspI),177_757,20_600,1012.0,25.98,1727.943,21.03,3.23234889971678,0.989594197845998,0.25|0.2,1012
(BsaXI) AND (BsiSI OR MspI),197_1097,40_940,1011.0,25.95,1743.28,20.85,3.23661599209771,0.814581309167056,0.25|0.2,1011
(BbvI OR BseXI OR Lsp1109I) AND (BsaWI),257_617,100_460,1031.0,26.46,1786.326,20.34,3.23870205415217,0.965540674659218,0.25|0.2,1031
(BseRI) AND (BsiSI OR MspI),237_777,80_620,994.0,25.51,1730.22,21.0,3.24071494342017,0.963071645828981,0.25|0.2,994
(BmeT110I OR BsoBI) AND (BbvI OR BseXI OR Lsp1109I),257_617,100_460,1108.0,28.44,1935.864,18.77,3.24233508321829,0.954284652031046,0.25|0.2,1108
(BpuEI) AND (BsiSI OR MspI),177_737,20_580,977.0,25.08,1712.416,21.22,3.24371471330337,0.988521329218194,0.25|0.2,977
(BshFI OR BsuRI OR HaeIII) AND (NmeAIII),297_497,140_340,976.0,25.05,1743.542,20.84,3.25198259584544,0.897538213777467,0.25|0.2,976
(BsiSI OR MspI) AND (SspI),237_1137,80_980,1013.0,26.0,1831.312,19.84,3.25715289584757,0.975303499367285,0.25|0.2,1013
(BaeGI OR BseSI) AND (BsiSI OR MspI),237_1137,80_980,1014.0,26.03,1834.667,19.81,3.25751929441572,0.971763124975187,0.25|0.2,1014
(BsiSI OR MspI) AND (EcoO109I),177_517,20_360,1006.0,25.82,1829.799,19.86,3.25980540519348,0.982528807073386,0.25|0.2,1006
(BshFI OR BsuRI OR HaeIII) AND (BsiSI OR MspI),257_477,100_320,1383.0,35.5,2545.652,14.28,3.26497685361149,0.940260327224120,0.25|0.2,1383
(BbvI OR BseXI OR Lsp1109I) AND (BssAI),237_617,80_460,1017.0,26.1,1897.655,19.15,3.27089630616148,0.957347360837096,0.25|0.2,1017
(BshFI OR BsuRI OR HaeIII) AND (TaqI),297_477,140_320,1048.0,26.9,2014.677,18.04,3.28384414581358,0.953758927687974,0.25|0.2,1048
(BssAI) AND (BshFI OR BsuRI OR HaeIII),257_477,100_320,1113.0,28.57,2199.438,16.52,3.29581655981523,0.904551235852187,0.25|0.2,1113
(BsiSI OR MspI) AND (Bsp1286I OR SduI),237_457,80_300,1004.0,25.77,2003.806,18.14,3.30012195987130,0.935039575933440,0.25|0.2,1004
(BbvI OR BseXI OR Lsp1109I) AND (BstXI),337_757,180_600,977.0,25.08,1949.993,18.64,3.30013848863511,0.977748844478715,0.25|0.2,977
(BsiSI OR MspI) AND (BssT1I OR Eco130I OR EcoT14I OR ErhI OR StyI),257_677,100_520,986.0,25.31,2005.575,18.12,3.30836199245205,0.964351907892164,0.25|0.2,986
(BbsI OR BpiI) AND (BsiSI OR MspI),177_1117,20_960,1094.0,28.08,2240.147,16.22,3.31125919597699,0.977899141054105,0.25|0.2,1094
(BmeT110I OR BsoBI) AND (BshFI OR BsuRI OR HaeIII),257_437,100_280,981.0,25.18,2058.854,17.65,3.32195654310282,0.938283052424537,0.25|0.2,981
(AcuI OR Eco57I) AND (BsiSI OR MspI),237_837,80_680,980.0,25.15,2057.408,17.66,3.32209434851471,0.968232124288799,0.25|0.2,980
(BbvI OR BseXI OR Lsp1109I) AND (NmeAIII),237_677,80_520,977.0,25.08,2057.461,17.66,3.32343704801714,0.949206373767751,0.25|0.2,977
(BsiSI OR MspI) AND (NspI OR XceI),237_757,80_600,1064.0,27.31,2262.203,16.06,3.32758994602744,0.955105023127768,0.25|0.2,1064
(BmeT110I OR BsoBI) AND (MlyI OR SchI),257_757,100_600,984.0,25.26,2101.541,17.29,3.32954276885804,0.973475385162086,0.25|0.2,984
(BmeT110I OR BsoBI) AND (Bsp1286I OR SduI),257_637,100_480,980.0,25.15,2094.602,17.35,3.32987543818524,0.950394344113465,0.25|0.2,980
