family_name,enzyme,methylation_sensitive
AanI,AanI,0
AanI,PsiI,0
AarI,AarI,1
AasI,AasI,NA
AasI,DrdI,1
AasI,DseDI,NA
AatII,AatII,1
AbsI,AbsI,NA
Acc16I,Acc16I,1
Acc16I,FspI,1
Acc16I,NsbI,1
Acc36I,Acc36I,NA
Acc36I,BfuAI,1
Acc36I,BspMI,NA
Acc36I,BveI,1
Acc65I,Acc65I,1
Acc65I,Asp718I,1
AccB1I,AccB1I,1
AccB1I,BanI,1
AccB1I,BshNI,1
AccB1I,BspT107I,1
AccB7I,AccB7I,1
AccB7I,PflMI,1
AccB7I,Van91I,1
AccBSI,AccBSI,NA
AccBSI,BsrBI,1
AccBSI,MbiI,1
AccI,AccI,1
AccI,FblI,NA
AccI,XmiI,1
AccII,AccII,1
AccII,Bsh1236I,1
AccII,BspFNI,1
AccII,BstFNI,NA
AccII,BstUI,1
AccII,MvnI,1
AccIII,AccIII,1
AccIII,Aor13HI,NA
AccIII,BseAI,1
AccIII,Bsp13I,NA
AccIII,BspEI,1
AccIII,Kpn2I,1
AccIII,MroI,1
AciI,AciI,1
AciI,BspACI,NA
AciI,SsiI,1
AclI,AclI,1
AclI,Psp1406I,1
AclWI,AclWI,NA
AclWI,AlwI,0
AclWI,BspPI,NA
AcoI,AcoI,NA
AcoI,EaeI,1
AcsI,AcsI,NA
AcsI,ApoI,0
AcsI,XapI,0
AcuI,AcuI,NA
AcuI,Eco57I,NA
AcvI,AcvI,NA
AcvI,BbrPI,1
AcvI,Eco72I,1
AcvI,PmaCI,1
AcvI,PmlI,1
AcvI,PspCI,NA
AcyI,AcyI,NA
AcyI,BsaHI,1
AcyI,BssNI,NA
AcyI,BstACI,NA
AcyI,Hin1I,1
AcyI,Hsp92I,NA
AdeI,AdeI,1
AdeI,DraIII,1
AfaI,AfaI,1
AfaI,RsaI,1
AfeI,AfeI,1
AfeI,Aor51HI,1
AfeI,Eco47III,1
AfiI,AfiI,NA
AfiI,Bsc4I,1
AfiI,BseLI,1
AfiI,BslI,1
AflII,AflII,1
AflII,BfrI,1
AflII,BspTI,NA
AflII,BstAFI,NA
AflII,MspCI,NA
AflII,Vha464I,NA
AflIII,AflIII,0
AgeI,AgeI,1
AgeI,AsiGI,NA
AgeI,BshTI,1
AgeI,CspAI,1
AgeI,PinAI,NA
AgsI,AgsI,NA
AhdI,AhdI,1
AhdI,BmeRI,NA
AhdI,DriI,NA
AhdI,Eam1105I,NA
AhlI,AhlI,NA
AhlI,BcuI,NA
AhlI,SpeI,1
AjiI,AjiI,1
AjiI,BmgBI,1
AjiI,BtrI,1
AjnI,AjnI,1
AjnI,EcoRII,1
AjnI,Psp6I,1
AjnI,PspGI,1
AjuI,AjuI,NA
AleI,AleI,1
AleI,OliI,1
AloI,AloI,NA
AluBI,AluBI,0
AluBI,AluI,1
Alw21I,Alw21I,NA
Alw21I,Bbv12I,NA
Alw21I,BsiHKAI,NA
Alw26I,Alw26I,1
Alw26I,BcoDI,1
Alw26I,BsmAI,1
Alw26I,BstMAI,NA
Alw44I,Alw44I,1
Alw44I,ApaLI,1
Alw44I,VneI,1
AlwNI,AlwNI,1
AlwNI,CaiI,1
AlwNI,PstNI,NA
Ama87I,Ama87I,NA
Ama87I,AvaI,1
Ama87I,BmeT110I,NA
Ama87I,BsiHKCI,NA
