family_name,enzyme,methylation_sensitive
AanI,AanI,0
AanI,PsiI,0
AarI,AarI,1
AasI,AasI,1
AasI,DrdI,1
AasI,DseDI,NA
AatII,AatII,1
AbsI,AbsI,NA
Acc16I,Acc16I,NA
Acc16I,FspI,1
Acc16I,NsbI,1
Acc36I,Acc36I,NA
Acc36I,BfuAI,1
Acc36I,BspMI,0
Acc36I,BveI,1
Acc65I,Acc65I,1
Acc65I,Asp718I,NA
AccB1I,AccB1I,NA
AccB1I,BanI,1
AccB1I,BshNI,1
AccB1I,BspT107I,NA
AccB7I,AccB7I,0
AccB7I,PflMI,0
AccB7I,Van91I,0
AccBSI,AccBSI,NA
AccBSI,BsrBI,1
AccBSI,MbiI,1
AccI,AccI,1
AccI,FblI,NA
AccI,XmiI,1
AccII,AccII,1
AccII,Bsh1236I,1
AccII,BspFNI,1
AccII,BstFNI,1
AccII,BstUI,1
AccII,MvnI,NA
AccIII,AccIII,NA
AccIII,Aor13HI,1
AccIII,BseAI,NA
AccIII,Bsp13I,NA
AccIII,BspEI,1
AccIII,Kpn2I,1
AccIII,MroI,1
AciI,AciI,1
AciI,BspACI,1
AciI,SsiI,1
AclI,AclI,1
AclI,Psp1406I,1
AclWI,AclWI,NA
AclWI,AlwI,0
AclWI,BspPI,0
AcoI,AcoI,NA
AcoI,EaeI,1
AcsI,AcsI,NA
AcsI,ApoI,0
AcsI,XapI,0
AcuI,AcuI,0
AcuI,Eco57I,0
AcvI,AcvI,1
AcvI,BbrPI,1
AcvI,Eco72I,1
AcvI,PmaCI,1
AcvI,PmlI,1
AcvI,PspCI,NA
AcyI,AcyI,NA
AcyI,BsaHI,1
AcyI,BssNI,NA
AcyI,BstACI,NA
AcyI,Hin1I,1
AcyI,Hsp92I,NA
AdeI,AdeI,1
AdeI,DraIII,1
AfaI,AfaI,1
AfaI,RsaI,1
AfeI,AfeI,1
AfeI,Aor51HI,1
AfeI,Eco47III,1
AfiI,AfiI,NA
AfiI,Bsc4I,NA
AfiI,BseLI,1
AfiI,BslI,1
AflII,AflII,0
AflII,BfrI,0
AflII,BspTI,0
AflII,BstAFI,0
AflII,MspCI,0
AflII,Vha464I,0
AflIII,AflIII,0
AgeI,AgeI,1
AgeI,AsiGI,NA
AgeI,BshTI,1
AgeI,CspAI,0
AgeI,PinAI,1
AgsI,AgsI,0
AhdI,AhdI,1
AhdI,BmeRI,NA
AhdI,DriI,NA
AhdI,Eam1105I,0
AhlI,AhlI,0
AhlI,BcuI,0
AhlI,SpeI,0
AjiI,AjiI,1
AjiI,BmgBI,1
AjiI,BtrI,1
AjnI,AjnI,0
AjnI,EcoRII,0
AjnI,Psp6I,0
AjnI,PspGI,0
AjuI,AjuI,0
AleI,AleI,1
AleI,OliI,1
AloI,AloI,1
AluBI,AluBI,0
AluBI,AluI,0
Alw21I,Alw21I,0
Alw21I,Bbv12I,NA
Alw21I,BsiHKAI,0
Alw26I,Alw26I,1
Alw26I,BcoDI,1
Alw26I,BsmAI,1
Alw26I,BstMAI,NA
Alw44I,Alw44I,1
Alw44I,ApaLI,1
Alw44I,VneI,NA
AlwNI,AlwNI,0
AlwNI,CaiI,0
AlwNI,PstNI,0
Ama87I,Ama87I,NA
Ama87I,AvaI,1
Ama87I,BmeT110I,0
Ama87I,BsiHKCI,1
Ama87I,BsoBI,0
