Site_ID,Chr,Coordinate,Weight
1,chr9,78367814,1
2,chr9,78367826,1
3,chr9,78367874,1
4,chr9,78367888,1
5,chr9,78367909,1
6,chr9,78367941,1
7,chr9,78367962,1
8,chr9,78368007,1
9,chr9,78368061,1
10,chr9,78368077,1
11,chr9,78368084,1
12,chr9,78368129,1
13,chr9,78368150,1
14,chr9,78368154,1
15,chr9,78368198,1
16,chr9,78368216,1
17,chr9,78368230,1
18,chr9,78368256,1
19,chr9,78368263,1
20,chr9,78368297,1
21,chr9,78368328,1
22,chr9,78368344,1
23,chr9,78368424,1
24,chr9,78368457,1
25,chr9,78368504,1
26,chr8,36593433,1
27,chr8,36593483,1
28,chr8,36593552,1
29,chr8,36593651,1
30,chr8,36593864,1
31,chr8,36593877,1
32,chr8,36593916,1
33,chr8,36593920,1
34,chr8,36594052,1
35,chr8,36594093,1
36,chr8,36594101,1
37,chr8,36594122,1
38,chr8,36594351,1
39,chr8,36594554,1
40,chr8,36594784,1
41,chr8,36594869,1
42,chr8,36594988,1
43,chr8,36594997,1
44,chr8,36595001,1
45,chr8,36595060,1
46,chr8,36595155,1
47,chr8,36595158,1
48,chr8,36595173,1
49,chr7,80190550,1
50,chr7,80190554,1
51,chr7,80190582,1
52,chr7,80190690,1
53,chr7,80190802,1
54,chr7,80190838,1
55,chr7,80190851,1
56,chr7,80190890,1
57,chr7,80190899,1
58,chr7,80190930,1
59,chr7,80191040,1
60,chr7,80191387,1
61,chr7,80191395,1
62,chr7,80191423,1
63,chr7,80191656,1
64,chr7,80191659,1
65,chr7,80191692,1
66,chr7,80191712,1
67,chr7,80191756,1
68,chr7,80191883,1
69,chr7,80192010,1
70,chr7,80192053,1
71,chr7,80192076,1
72,chr7,80192311,1
73,chr7,80192403,1
74,chr7,49346299,1
75,chr7,49346411,1
76,chr7,49346492,1
77,chr7,49346643,1
78,chr7,49346774,1
79,chr7,49346942,1
80,chr7,49346992,1
81,chr7,49347147,1
82,chr7,49347205,1
83,chr7,49347234,1
84,chr7,49347374,1
85,chr7,49347413,1
86,chr7,49347491,1
87,chr7,49347594,1
88,chr7,49347634,1
89,chr7,49347667,1
90,chr7,49347673,1
91,chr7,49347757,1
92,chr7,49347824,1
93,chr7,49347845,1
94,chr7,49347920,1
95,chr7,49347986,1
96,chr7,49348118,1
97,chr7,45558396,1
98,chr7,45558438,1
99,chr7,45558443,1
100,chr7,45558448,1
101,chr7,45558453,1
102,chr7,45558458,1
103,chr7,45558463,1
104,chr7,45558468,1
105,chr7,45558473,1
106,chr7,45558478,1
107,chr7,45558488,1
108,chr7,45558501,1
109,chr7,45558508,1
110,chr7,45558567,1
111,chr7,45558593,1
112,chr7,45558858,1
113,chr7,45559046,1
114,chr7,45559051,1
115,chr7,45559063,1
116,chr7,45559159,1
117,chr7,45559212,1
118,chr7,45559300,1
119,chr7,45559400,1
120,chr7,45559425,1
121,chr7,144856118,1
122,chr7,144856305,1
123,chr7,144856314,1
124,chr7,144856422,1
125,chr7,144856564,1
126,chr7,144856710,1
127,chr7,144856716,1
128,chr7,144856737,1
129,chr7,144856816,1
130,chr7,144856826,1
131,chr7,144857000,1
132,chr7,144857078,1
133,chr7,144857264,1
134,chr7,144857313,1
135,chr7,144857339,1
136,chr7,144857452,1
137,chr7,144857469,1
138,chr7,144857480,1
139,chr7,144857509,1
140,chr7,144857696,1
141,chr7,144857790,1
142,chr7,144857960,1
143,chr7,144857999,1
144,chr6,125433174,1
145,chr6,125433279,1
146,chr6,125433284,1
147,chr6,125433378,1
148,chr6,125433686,1
149,chr6,125433907,1
150,chr6,125433917,1
151,chr6,125434058,1
152,chr6,125434336,1
153,chr6,125434364,1
154,chr6,125434425,1
155,chr6,125434482,1
156,chr6,125434527,1
157,chr6,125434542,1
158,chr6,125434596,1
159,chr6,125434641,1
160,chr6,125435067,1
161,chr6,125435186,1
162,chr6,125435297,1
163,chr6,125435328,1
164,chr6,125435484,1
165,chr6,125435532,1
166,chr6,125435585,1
167,chr6,125435717,1
168,chr6,122770221,1
169,chr6,122770296,1
170,chr6,122770318,1
171,chr6,122770616,1
172,chr6,122770763,1
173,chr6,122770884,1
174,chr6,122770932,1
175,chr6,122770973,1
176,chr6,122771095,1
177,chr6,122771103,1
178,chr6,122771105,1
179,chr6,122771133,1
180,chr6,122771154,1
181,chr6,122771166,1
182,chr6,122771252,1
183,chr6,122771316,1
184,chr6,122771367,1
185,chr6,122771432,1
186,chr6,122771446,1
187,chr6,122771463,1
188,chr6,122771482,1
189,chr6,122771494,1
190,chr6,122771508,1
191,chr6,122771642,1
192,chr6,122342878,1
193,chr6,122342882,1
194,chr6,122342890,1
195,chr6,122342897,1
196,chr6,122342996,1
197,chr6,122343256,1
198,chr6,122343313,1
199,chr6,122343442,1
200,chr6,122343498,1
201,chr6,122343667,1
202,chr6,122343720,1
203,chr6,122343759,1
204,chr6,122343818,1
205,chr6,122343829,1
206,chr6,122343836,1
207,chr6,122343881,1
208,chr6,122343885,1
209,chr6,122343891,1
210,chr6,122343966,1
211,chr6,122343996,1
212,chr6,122344154,1
213,chr6,122344287,1
214,chr6,122344323,1
215,chr6,122344340,1
216,chr5,64863034,1
217,chr5,64863193,1
218,chr5,64863453,1
219,chr5,64863510,1
220,chr5,64863528,1
221,chr5,64863558,1
222,chr5,64864040,1
223,chr5,64864099,1
224,chr5,64864365,1
225,chr5,64864461,1
226,chr5,64864583,1
227,chr5,64864717,1
228,chr5,64864869,1
229,chr5,64864906,1
230,chr5,64865071,1
231,chr5,64865208,1
232,chr5,64865255,1
233,chr5,64865313,1
234,chr5,64865341,1
235,chr5,64865393,1
236,chr5,64865414,1
237,chr5,64865640,1
238,chr5,64865710,1
239,chr5,64865790,1
240,chr5,53554345,1
241,chr5,53554349,1
242,chr5,53554409,1
243,chr5,53554419,1
244,chr5,53554810,1
245,chr5,53555065,1
246,chr5,53555067,1
247,chr5,53555110,1
248,chr5,53555230,1
249,chr5,53555340,1
250,chr5,53555606,1
251,chr5,53555612,1
252,chr5,53555616,1
253,chr5,53555635,1
254,chr5,53555693,1
255,chr5,53555826,1
256,chr5,53555861,1
257,chr5,53555866,1
258,chr5,53555879,1
259,chr5,53555963,1
260,chr5,53556039,1
261,chr5,53556141,1
262,chr5,53556156,1
