Site_ID,Chr,Coordinate,Weight
S0001,chr1,1049960,1
S0002,chr1,1051284,1
S0003,chr1,1439680,1
S0004,chr1,1439690,1
S0005,chr1,1753493,1
S0006,chr1,1758096,1
S0007,chr1,1899357,1
S0008,chr1,1981330,1
S0009,chr1,2091815,1
S0010,chr1,2408525,1
S0011,chr1,2443981,1
S0012,chr1,2444025,1
S0013,chr1,2444035,1
S0014,chr1,2459833,1
S0015,chr1,2459843,1
S0016,chr1,2514066,1
S0017,chr1,2514103,1
S0018,chr1,2514113,1
S0019,chr1,2521428,1
S0020,chr1,2787628,1
S0021,chr1,2787638,1
S0022,chr1,2913418,1
S0023,chr1,4362814,1
S0024,chr1,6180451,1
S0025,chr1,6180475,1
S0026,chr1,6180480,1
S0027,chr1,6209372,1
S0028,chr1,6209382,1
S0029,chr1,6268588,1
S0030,chr1,6268598,1
S0031,chr1,6455178,1
S0032,chr1,6455188,1
S0033,chr1,7632280,1
S0034,chr1,9198808,1
S0035,chr1,9594035,1
S0036,chr1,9594045,1
S0037,chr1,10639259,1
S0038,chr1,10751347,1
S0039,chr1,10751366,1
S0040,chr1,11650604,1
S0041,chr1,15329239,1
S0042,chr1,15427165,1
S0043,chr1,15427175,1
S0044,chr1,15944451,1
S0045,chr1,16220339,1
S0046,chr1,16499080,1
S0047,chr1,16930325,1
S0048,chr1,16971618,1
S0049,chr1,18839256,1
S0050,chr1,19338576,1
S0051,chr1,19338586,1
S0052,chr1,20484174,1
S0053,chr1,21853173,1
S0054,chr1,21884636,1
S0055,chr1,26328247,1
S0056,chr1,27006248,1
S0057,chr1,27006260,1
S0058,chr1,27339434,1
S0059,chr1,28797025,1
S0060,chr1,32235108,1
S0061,chr1,32362267,1
S0062,chr1,32362290,1
S0063,chr1,32362300,1
S0064,chr1,33296256,1
S0065,chr1,34177422,1
S0066,chr1,36087368,1
S0067,chr1,36705868,1
S0068,chr1,37036188,1
S0069,chr1,37036227,1
S0070,chr1,39711772,1
S0071,chr1,41726954,1
S0072,chr1,41727061,1
