Site_ID,Chr,Coordinate,Weight
S00001,chr1,4851643,1
S00002,chr1,6240393,1
S00003,chr1,7088946,1
S00004,chr1,7088952,1
S00005,chr1,7156302,1
S00006,chr1,8859360,1
S00007,chr1,9506713,1
S00008,chr1,9736695,1
S00009,chr1,9736701,1
S00010,chr1,9736703,1
S00011,chr1,9852961,1
S00012,chr1,9852967,1
S00013,chr1,9852975,1
S00014,chr1,9908618,1
S00015,chr1,9908620,1
S00016,chr1,9908616,1
S00017,chr1,9908622,1
S00018,chr1,9908643,1
S00019,chr1,9908649,1
S00020,chr1,10995511,1
S00021,chr1,11537384,1
S00022,chr1,12520085,1
S00023,chr1,12520087,1
S00024,chr1,12520093,1
S00025,chr1,12520099,1
S00026,chr1,12520101,1
S00027,chr1,12791093,1
S00028,chr1,12791099,1
S00029,chr1,12851023,1
S00030,chr1,12851029,1
S00031,chr1,13128508,1
S00032,chr1,13602104,1
S00033,chr1,15152491,1
S00034,chr1,15172893,1
S00035,chr1,15553880,1
S00036,chr1,15553894,1
S00037,chr1,15553900,1
S00038,chr1,15553902,1
S00039,chr1,15651249,1
S00040,chr1,15651255,1
S00041,chr1,15651251,1
S00042,chr1,15651257,1
S00043,chr1,15651265,1
S00044,chr1,15651269,1
S00045,chr1,15651273,1
S00046,chr1,15651277,1
S00047,chr1,15651281,1
S00048,chr1,15651285,1
S00049,chr1,15651289,1
S00050,chr1,15883759,1
S00051,chr1,15883765,1
S00052,chr1,15907414,1
S00053,chr1,15907420,1
S00054,chr1,15907499,1
S00055,chr1,16104411,1
S00056,chr1,16104417,1
S00057,chr1,16116317,1
S00058,chr1,16116323,1
S00059,chr1,16665162,1
S00060,chr1,16665168,1
S00061,chr1,16665170,1
S00062,chr1,16665166,1
S00063,chr1,16665172,1
S00064,chr1,17374200,1
S00065,chr1,18047900,1
S00066,chr1,18408893,1
S00067,chr1,18408899,1
S00068,chr1,19139373,1
S00069,chr1,19139379,1
S00070,chr1,19226919,1
S00071,chr1,19226925,1
S00072,chr1,20761967,1
S00073,chr1,20761973,1
S00074,chr1,20761981,1
S00075,chr1,20761983,1
S00076,chr1,20761979,1
S00077,chr1,20761985,1
S00078,chr1,20761987,1
S00079,chr1,20951541,1
S00080,chr1,20951547,1
S00081,chr1,21166458,1
S00082,chr1,21166514,1
S00083,chr1,21218803,1
S00084,chr1,21218809,1
S00085,chr1,21271436,1
S00086,chr1,21271442,1
S00087,chr1,21526658,1
S00088,chr1,21526664,1
S00089,chr1,21526660,1
S00090,chr1,21526666,1
S00091,chr1,21526670,1
S00092,chr1,22533234,1
S00093,chr1,22533308,1
S00094,chr1,22533316,1
S00095,chr1,22965584,1
S00096,chr1,22965590,1
S00097,chr1,22965596,1
S00098,chr1,23835802,1
S00099,chr1,24005618,1
S00100,chr1,24005624,1
S00101,chr1,24005630,1
S00102,chr1,24005668,1
S00103,chr1,24005677,1
S00104,chr1,25105018,1
S00105,chr1,25105024,1
S00106,chr1,25105020,1
S00107,chr1,25105026,1
S00108,chr1,25105032,1
S00109,chr1,25192220,1
S00110,chr1,29218349,1
S00111,chr1,33511368,1
S00112,chr1,33511374,1
S00113,chr1,33638053,1
S00114,chr1,33719828,1
S00115,chr1,33719870,1
S00116,chr1,33947241,1
S00117,chr1,33964407,1
S00118,chr1,33964413,1
S00119,chr1,33964409,1
S00120,chr1,33964415,1
S00121,chr1,33964419,1
S00122,chr1,34304986,1
S00123,chr1,34386870,1
S00124,chr1,34386876,1
S00125,chr1,34437846,1
S00126,chr1,34437852,1
S00127,chr1,34578591,1
S00128,chr1,34578597,1
S00129,chr1,34600217,1
S00130,chr1,34600223,1
S00131,chr1,34665074,1
S00132,chr1,34723893,1
S00133,chr1,34723899,1
S00134,chr1,34723905,1
S00135,chr1,34849939,1
S00136,chr1,34849945,1
S00137,chr1,34870270,1
S00138,chr1,34870290,1
S00139,chr1,35825819,1
S00140,chr1,35825825,1
S00141,chr1,36104096,1
S00142,chr1,36104102,1
S00143,chr1,36370817,1
S00144,chr1,36408575,1
S00145,chr1,36408581,1
S00146,chr1,36408593,1
S00147,chr1,36408599,1
S00148,chr1,36481062,1
S00149,chr1,36481068,1
S00150,chr1,36691412,1
S00151,chr1,36691437,1
S00152,chr1,36772079,1
S00153,chr1,36913976,1
S00154,chr1,37010329,1
S00155,chr1,37044197,1
S00156,chr1,37081846,1
S00157,chr1,37081852,1
S00158,chr1,37130959,1
S00159,chr1,37130965,1
S00160,chr1,37220365,1
S00161,chr1,37318999,1
S00162,chr1,37352704,1
S00163,chr1,37352710,1
S00164,chr1,37352712,1
S00165,chr1,37352722,1
S00166,chr1,37352730,1
S00167,chr1,37448127,1
S00168,chr1,37614327,1
S00169,chr1,37686351,1
S00170,chr1,37686357,1
S00171,chr1,37865095,1
S00172,chr1,37865183,1
S00173,chr1,37865240,1
S00174,chr1,37865246,1
S00175,chr1,37865315,1
S00176,chr1,37865321,1
S00177,chr1,37890395,1
S00178,chr1,37890401,1
S00179,chr1,37996977,1
S00180,chr1,37996983,1
S00181,chr1,38359285,1
S00182,chr1,38359300,1
S00183,chr1,38359306,1
S00184,chr1,38720829,1
S00185,chr1,38767159,1
S00186,chr1,38767165,1
S00187,chr1,38836731,1
S00188,chr1,38987698,1
S00189,chr1,38987779,1
S00190,chr1,38987781,1
S00191,chr1,38987787,1
S00192,chr1,39012607,1
S00193,chr1,39179011,1
S00194,chr1,39317147,1
S00195,chr1,39871668,1
S00196,chr1,39871732,1
S00197,chr1,39881782,1
S00198,chr1,39881788,1
