Site_ID,Chr,Coordinate,Weight
1,1,43908,1
2,1,43983,1
3,1,43999,1
4,1,44044,1
5,1,44232,1
6,1,44363,1
7,1,44416,1
8,1,44473,1
9,1,44486,1
10,1,44504,1
11,1,44533,1
12,1,44543,1
13,1,44685,1
14,1,44691,1
15,1,44698,1
16,1,44714,1
17,1,44723,1
18,1,44738,1
19,1,44918,1
20,1,44923,1
21,1,44951,1
22,1,44982,1
23,1,45009,1
24,1,45056,1
25,1,108416,1
26,1,108500,1
27,1,108566,1
28,1,108614,1
29,1,108628,1
30,1,108757,1
31,1,108783,1
32,1,182876,1
33,1,182879,1
34,1,182894,1
35,1,435220,1
36,1,435232,1
37,1,435263,1
38,1,435296,1
39,1,435308,1
40,1,435324,1
41,1,435370,1
42,1,465523,1
43,1,465530,1
44,1,529245,1
45,1,529249,1
46,1,529341,1
47,1,664230,1
48,1,664455,1
49,1,664605,1
50,1,664834,1
51,1,664851,1
52,1,789163,1
53,1,789204,1
54,1,789214,1
55,1,789248,1
56,1,789354,1
57,1,789612,1
58,1,789677,1
59,1,789824,1
60,1,789850,1
61,1,789879,1
62,1,789892,1
63,1,953658,1
64,1,953718,1
65,1,953726,1
66,1,953766,1
67,1,953918,1
68,1,953965,1
69,1,953999,1
70,1,1132454,1
71,1,1132567,1
72,1,1132600,1
73,1,1132622,1
74,1,1132744,1
75,1,1132824,1
76,1,1132917,1
77,1,1132932,1
78,1,1133051,1
79,1,1133069,1
80,1,1424639,1
81,1,1424675,1
82,1,1424765,1
83,1,1433122,1
84,1,1433173,1
85,1,1517428,1
86,1,1517468,1
87,1,1517471,1
88,1,1517475,1
89,1,1517625,1
90,1,1517740,1
91,1,1546484,1
92,1,1546533,1
93,1,1546586,1
94,1,1546601,1
95,1,1546634,1
96,1,1546699,1
97,1,1546703,1
98,1,1546834,1
99,1,1574844,1
100,1,1574907,1
101,1,1574920,1
102,1,1574942,1
103,1,1574979,1
104,1,1574993,1
105,1,1575088,1
106,1,1575319,1
107,1,1575367,1
108,1,1575377,1
109,1,1575398,1
110,1,1575407,1
111,1,1642827,1
112,1,1642898,1
113,1,1642915,1
114,1,1965110,1
115,1,1965218,1
116,1,2233833,1
117,1,2233843,1
118,1,2233966,1
119,1,2234193,1
120,1,2234210,1
121,1,2234229,1
122,1,2234302,1
123,1,2234312,1
124,1,2234321,1
125,1,2234332,1
126,1,2234432,1
127,1,2516920,1
128,1,2517007,1
129,1,2517035,1
130,1,2517072,1
131,1,2532933,1
132,1,2532938,1
133,1,2532956,1
134,1,2532959,1
135,1,2532992,1
136,1,2533020,1
137,1,2533057,1
138,1,2533091,1
139,1,2533117,1
140,1,2533122,1
141,1,2533145,1
142,1,2533166,1
143,1,2533193,1
144,1,2533241,1
145,1,2533267,1
146,1,2533270,1
147,1,2533273,1
148,1,2533328,1
149,1,2533343,1
150,1,2533386,1
151,1,2533418,1
152,1,2533441,1
153,1,2533464,1
154,1,2533493,1
155,1,2533517,1
156,1,2533538,1
157,1,2533559,1
158,1,2533622,1
159,1,2533628,1
160,1,2533631,1
