Site_ID,Chr,Coordinate,Weight
1,chr9,78367814,1
2,chr9,78367815,1
3,chr9,78367826,1
4,chr9,78367827,1
5,chr9,78367874,1
6,chr9,78367875,1
7,chr9,78367888,1
8,chr9,78367889,1
9,chr9,78367909,1
10,chr9,78367910,1
11,chr9,78367941,1
12,chr9,78367942,1
13,chr9,78367962,1
14,chr9,78367963,1
15,chr9,78368007,1
16,chr9,78368008,1
17,chr9,78368061,1
18,chr9,78368062,1
19,chr9,78368077,1
20,chr9,78368078,1
21,chr9,78368084,1
22,chr9,78368085,1
23,chr9,78368129,1
24,chr9,78368130,1
25,chr9,78368150,1
26,chr9,78368151,1
27,chr9,78368154,1
28,chr9,78368155,1
29,chr9,78368198,1
30,chr9,78368199,1
31,chr9,78368216,1
32,chr9,78368217,1
33,chr9,78368230,1
34,chr9,78368231,1
35,chr9,78368256,1
36,chr9,78368257,1
37,chr9,78368263,1
38,chr9,78368264,1
39,chr9,78368297,1
40,chr9,78368298,1
41,chr9,78368328,1
42,chr9,78368329,1
43,chr9,78368344,1
44,chr9,78368345,1
45,chr9,78368424,1
46,chr9,78368425,1
47,chr9,78368457,1
48,chr9,78368458,1
49,chr9,78368504,1
50,chr9,78368505,1
51,chr8,36593433,1
52,chr8,36593434,1
53,chr8,36593483,1
54,chr8,36593484,1
55,chr8,36593552,1
56,chr8,36593553,1
57,chr8,36593651,1
58,chr8,36593652,1
59,chr8,36593864,1
60,chr8,36593865,1
61,chr8,36593877,1
62,chr8,36593878,1
63,chr8,36593916,1
64,chr8,36593917,1
65,chr8,36593920,1
66,chr8,36593921,1
67,chr8,36594052,1
68,chr8,36594053,1
69,chr8,36594093,1
70,chr8,36594094,1
71,chr8,36594101,1
72,chr8,36594102,1
73,chr8,36594122,1
74,chr8,36594123,1
75,chr8,36594351,1
76,chr8,36594352,1
77,chr8,36594554,1
78,chr8,36594555,1
79,chr8,36594784,1
80,chr8,36594785,1
81,chr8,36594869,1
82,chr8,36594870,1
83,chr8,36594988,1
84,chr8,36594989,1
85,chr8,36594997,1
86,chr8,36594998,1
87,chr8,36595001,1
88,chr8,36595002,1
89,chr8,36595060,1
90,chr8,36595061,1
91,chr8,36595155,1
92,chr8,36595156,1
93,chr8,36595158,1
94,chr8,36595159,1
95,chr8,36595173,1
96,chr8,36595174,1
97,chr7,80190550,1
98,chr7,80190551,1
99,chr7,80190554,1
100,chr7,80190555,1
101,chr7,80190582,1
102,chr7,80190583,1
103,chr7,80190690,1
104,chr7,80190691,1
105,chr7,80190802,1
106,chr7,80190803,1
107,chr7,80190838,1
108,chr7,80190839,1
109,chr7,80190851,1
110,chr7,80190852,1
111,chr7,80190890,1
112,chr7,80190891,1
113,chr7,80190899,1
114,chr7,80190900,1
115,chr7,80190930,1
116,chr7,80190931,1
117,chr7,80191040,1
118,chr7,80191041,1
119,chr7,80191387,1
120,chr7,80191388,1
121,chr7,80191395,1
122,chr7,80191396,1
123,chr7,80191423,1
124,chr7,80191424,1
125,chr7,80191656,1
126,chr7,80191657,1
127,chr7,80191659,1
128,chr7,80191660,1
129,chr7,80191692,1
130,chr7,80191693,1
131,chr7,80191712,1
132,chr7,80191713,1
133,chr7,80191756,1
134,chr7,80191757,1
135,chr7,80191883,1
136,chr7,80191884,1
137,chr7,80192010,1
138,chr7,80192011,1
139,chr7,80192053,1
140,chr7,80192054,1
141,chr7,80192076,1
142,chr7,80192077,1
143,chr7,80192311,1
144,chr7,80192312,1
145,chr7,80192403,1
146,chr7,80192404,1
147,chr7,49346299,1
148,chr7,49346300,1
149,chr7,49346411,1
150,chr7,49346412,1
151,chr7,49346492,1
152,chr7,49346493,1
153,chr7,49346643,1
154,chr7,49346644,1
155,chr7,49346774,1
156,chr7,49346775,1
157,chr7,49346942,1
158,chr7,49346943,1
159,chr7,49346992,1
160,chr7,49346993,1
161,chr7,49347147,1
162,chr7,49347148,1
163,chr7,49347205,1
164,chr7,49347206,1
165,chr7,49347234,1
166,chr7,49347235,1
167,chr7,49347374,1
168,chr7,49347375,1
169,chr7,49347413,1
170,chr7,49347414,1
171,chr7,49347491,1
172,chr7,49347492,1
173,chr7,49347594,1
174,chr7,49347595,1
175,chr7,49347634,1
176,chr7,49347635,1
177,chr7,49347667,1
178,chr7,49347668,1
179,chr7,49347673,1
180,chr7,49347674,1
181,chr7,49347757,1
182,chr7,49347758,1
183,chr7,49347824,1
184,chr7,49347825,1
185,chr7,49347845,1
186,chr7,49347846,1
187,chr7,49347920,1
188,chr7,49347921,1
189,chr7,49347986,1
190,chr7,49347987,1
191,chr7,49348118,1
