Site_ID,Chr,Coordinate,Weight
1,chr8,51734210,1
2,chr8,51734211,1
3,chr8,51734326,1
4,chr8,51734327,1
5,chr8,51734428,1
6,chr8,51734429,1
7,chr8,51734464,1
8,chr8,51734465,1
9,chr8,51734625,1
10,chr8,51734626,1
11,chr8,51734630,1
12,chr8,51734631,1
13,chr8,51734690,1
14,chr8,51734691,1
15,chr8,51734715,1
16,chr8,51734716,1
17,chr8,51734723,1
18,chr8,51734724,1
19,chr8,51734730,1
20,chr8,51734731,1
21,chr8,51734749,1
22,chr8,51734750,1
23,chr8,51734756,1
24,chr8,51734757,1
25,chr8,51734823,1
26,chr8,51734824,1
27,chr8,51734840,1
28,chr8,51734841,1
29,chr8,51734860,1
30,chr8,51734861,1
31,chr8,51734921,1
32,chr8,51734922,1
33,chr8,51734958,1
34,chr8,51734959,1
35,chr8,51735037,1
36,chr8,51735038,1
37,chr8,51735050,1
38,chr8,51735051,1
39,chr8,51735111,1
40,chr8,51735112,1
41,chr8,51735161,1
42,chr8,51735162,1
43,chr8,51735193,1
44,chr8,51735194,1
45,chr8,51735273,1
46,chr8,51735274,1
47,chr8,51735290,1
48,chr8,51735291,1
49,chr8,51735292,1
50,chr8,51735293,1
51,chr8,51735296,1
52,chr8,51735297,1
53,chr8,51735312,1
54,chr8,51735313,1
55,chr8,51735315,1
56,chr8,51735316,1
57,chr8,51735333,1
58,chr8,51735334,1
59,chr7,21713023,1
60,chr7,21713024,1
61,chr7,21713423,1
62,chr7,21713424,1
63,chr7,21713602,1
64,chr7,21713603,1
65,chr7,21713686,1
66,chr7,21713687,1
67,chr7,21713762,1
68,chr7,21713763,1
69,chr7,21713958,1
70,chr7,21713959,1
71,chr7,21714099,1
72,chr7,21714100,1
73,chr7,21714170,1
74,chr7,21714171,1
75,chr7,21714291,1
76,chr7,21714292,1
77,chr7,21714318,1
78,chr7,21714319,1
79,chr7,21714325,1
80,chr7,21714326,1
81,chr7,21714406,1
82,chr7,21714407,1
83,chr7,21714470,1
84,chr7,21714471,1
85,chr7,21714715,1
86,chr7,21714716,1
87,chr7,21714780,1
88,chr7,21714781,1
89,chr7,21714852,1
90,chr7,21714853,1
91,chr7,21714984,1
92,chr7,21714985,1
93,chr7,21714987,1
94,chr7,21714988,1
95,chr7,21715191,1
96,chr7,21715192,1
97,chr7,21715428,1
98,chr7,21715429,1
99,chr7,21715524,1
100,chr7,21715525,1
101,chr7,21715752,1
102,chr7,21715753,1
103,chr7,21715933,1
104,chr7,21715934,1
105,chr7,21716070,1
106,chr7,21716071,1
107,chr7,21716144,1
108,chr7,21716145,1
109,chr7,21716151,1
110,chr7,21716152,1
111,chr7,21716721,1
112,chr7,21716722,1
113,chr7,21716756,1
114,chr7,21716757,1
115,chr7,21716796,1
116,chr7,21716797,1
117,chr7,21716946,1
118,chr7,21716947,1
119,chr7,21716992,1
120,chr7,21716993,1
121,chr7,21717056,1
122,chr7,21717057,1
123,chr7,21717082,1
124,chr7,21717083,1
125,chr7,21717538,1
126,chr7,21717539,1
127,chr7,21718120,1
128,chr7,21718121,1
129,chr7,21718201,1
130,chr7,21718202,1
131,chr7,21718230,1
132,chr7,21718231,1
133,chr7,21718240,1
134,chr7,21718241,1
135,chr7,21718268,1
136,chr7,21718269,1
137,chr7,21718640,1
138,chr7,21718641,1
139,chr7,21719178,1
140,chr7,21719179,1
141,chr7,21719440,1
142,chr7,21719441,1
143,chr7,21719528,1
144,chr7,21719529,1
145,chr7,21719539,1
146,chr7,21719540,1
147,chr7,21719586,1
148,chr7,21719587,1
149,chr7,21719765,1
150,chr7,21719766,1
151,chr7,21719768,1
152,chr7,21719769,1
153,chr7,21719795,1
154,chr7,21719796,1
155,chr7,21719877,1
156,chr7,21719878,1
157,chr7,21719958,1
158,chr7,21719959,1
159,chr7,21719974,1
160,chr7,21719975,1
161,chr7,21720060,1
162,chr7,21720061,1
163,chr7,21720063,1
164,chr7,21720064,1
165,chr7,21720093,1
166,chr7,21720094,1
167,chr7,21720117,1
168,chr7,21720118,1
169,chr7,21720149,1
170,chr7,21720150,1
171,chr7,21720158,1
172,chr7,21720159,1
173,chr7,21720225,1
174,chr7,21720226,1
175,chr7,21720349,1
176,chr7,21720350,1
177,chr7,21720501,1
178,chr7,21720502,1
179,chr7,21720544,1
180,chr7,21720545,1
181,chr7,21720547,1
182,chr7,21720548,1
183,chr7,21720558,1
184,chr7,21720559,1
185,chr7,21720567,1
186,chr7,21720568,1
187,chr7,21720581,1
188,chr7,21720582,1
189,chr7,21720809,1
190,chr7,21720810,1
191,chr7,21720817,1
192,chr7,21720818,1
193,chr7,21720962,1
194,chr7,21720963,1
195,chr7,21721320,1
196,chr7,21721321,1
197,chr7,21721490,1
198,chr7,21721491,1
199,chr7,21721972,1
200,chr7,21721973,1
201,chr7,21722316,1
202,chr7,21722317,1
203,chr7,21722355,1
204,chr7,21722356,1
205,chr7,21722367,1
206,chr7,21722368,1
207,chr7,21722404,1
208,chr7,21722405,1
209,chr7,21722410,1
210,chr7,21722411,1
211,chr7,21722436,1
212,chr7,21722437,1
213,chr7,21722441,1
214,chr7,21722442,1
215,chr7,21722446,1
216,chr7,21722447,1
217,chr7,21722466,1
218,chr7,21722467,1
219,chr7,21722510,1
220,chr7,21722511,1
221,chr7,21722557,1
222,chr7,21722558,1
223,chr7,21722583,1
224,chr7,21722584,1
225,chr7,21722614,1
226,chr7,21722615,1
227,chr7,21722624,1
228,chr7,21722625,1
229,chr7,21722629,1
230,chr7,21722630,1
231,chr7,21722770,1
232,chr7,21722771,1
233,chr7,21722776,1
234,chr7,21722777,1
235,chr7,21722820,1
236,chr7,21722821,1
237,chr7,21722872,1
238,chr7,21722873,1
239,chr7,21722902,1
240,chr7,21722903,1
241,chr7,21722920,1
242,chr7,21722921,1
243,chr7,21722945,1
244,chr7,21722946,1
245,chr7,21722993,1
246,chr7,21722994,1
247,chr7,21723269,1
248,chr7,21723270,1
249,chr7,21723316,1
250,chr7,21723317,1
251,chr7,21723325,1
252,chr7,21723326,1
253,chr7,21723378,1
254,chr7,21723379,1
255,chr7,21723487,1
256,chr7,21723488,1
257,chr7,21723568,1
258,chr7,21723569,1
259,chr7,21723772,1
260,chr7,21723773,1
261,chr7,21723774,1
262,chr7,21723775,1
263,chr7,21724230,1
264,chr7,21724231,1
265,chr7,21724390,1
266,chr7,21724391,1
267,chr7,21724412,1
268,chr7,21724413,1
269,chr7,21724450,1
270,chr7,21724451,1
271,chr7,21724549,1
272,chr7,21724550,1
273,chr7,21724570,1
274,chr7,21724571,1
275,chr7,21724651,1
276,chr7,21724652,1
277,chr7,21724677,1
278,chr7,21724678,1
279,chr7,21724757,1
280,chr7,21724758,1
281,chr7,21724809,1
282,chr7,21724810,1
283,chr7,21724965,1
284,chr7,21724966,1
285,chr7,21724980,1
286,chr7,21724981,1
287,chr7,21724990,1
288,chr7,21724991,1
289,chr7,21724993,1
290,chr7,21724994,1
291,chr7,21725106,1
292,chr7,21725107,1
293,chr7,21725115,1
294,chr7,21725116,1
295,chr7,21725213,1
296,chr7,21725214,1
297,chr7,21725430,1
298,chr7,21725431,1
299,chr7,21725529,1
300,chr7,21725530,1
301,chr7,21725551,1
302,chr7,21725552,1
303,chr7,21725611,1
304,chr7,21725612,1
305,chr7,21725700,1
306,chr7,21725701,1
307,chr7,21725837,1
308,chr7,21725838,1
309,chr7,21725986,1
310,chr7,21725987,1
311,chr7,21725990,1
312,chr7,21725991,1
313,chr7,21726125,1
314,chr7,21726126,1
315,chr7,21726225,1
316,chr7,21726226,1
317,chr7,21726371,1
318,chr7,21726372,1
319,chr7,21726389,1
320,chr7,21726390,1
321,chr7,21726587,1
322,chr7,21726588,1
323,chr7,21726672,1
324,chr7,21726673,1
325,chr7,21726813,1
326,chr7,21726814,1
327,chr7,21727073,1
