Site_ID,Chr,Coordinate,Weight
S001,chr15,74203013,0.12933661
S002,chr17,40885350,0.002008493
S003,chr10,35605502,0.111945219
S004,chr17,68307004,0.005017857
S005,chr12,14886091,0.136199957
S006,chr10,133527236,0.000265206
S007,chr12,79691488,1.59976405
S008,chr7,54759984,0.056852418
S009,chr9,129080459,0.102862854
S010,chr14,21098704,0.167672796
S011,chr11,126356112,0.040535924
S012,chr21,37208185,0.033581152
S013,chr7,31687298,0.238560451
S014,chr22,28772526,0.379166543
S015,chr1,169629974,0.345952077
S016,chr17,38705946,0.025753328
S017,chr11,57336157,0.686111875
S018,chr10,70785668,0.036910708
S019,chr6,3849038,0.031258306
S020,chr7,101020086,0.088628396
S021,chr19,57681863,0.159948713
S022,chr10,30984781,0.042805528
S023,chr12,6772917,0.271122363
S024,chr9,71911733,0.604056375
S025,chr2,86337915,1.169245865
S026,chr20,63956349,0.658400181
S027,chr15,40893775,0.048429497
S028,chr19,6739181,0.006127551
S029,chr2,74529107,0.044757003
S030,chr6,62286792,0.086512604
S031,chr1,179293327,0.337498333
S032,chr16,2341080,0.126928853
S033,chr9,136946226,0.062771342
S034,chr3,131027104,0.17128537
S035,chr12,57611975,0.024270255
S036,chr8,41308180,0.425971257
S037,chr19,4769641,1.875446187
S038,chr19,15010719,0.073741383
S039,chr17,41370474,0.349274493
S040,chr9,83957099,0.140583491
S041,chr4,94208252,0.050646083
S042,chr2,86440945,0.47394601
S043,chr3,51670335,0.459777041
S044,chr4,52051105,0.023536343
S045,chr21,17513775,0.551041258
S046,chr6,30883861,0.013544725
S047,chr15,44288775,0.854784621
S048,chr3,127673560,0.064471129
S049,chr17,16569552,0.207653221
S050,chr15,70854968,0.032630972
S051,chr14,91253829,0.858843002
S052,chr7,94657641,0.112677232
S053,chr17,6995978,0.014946399
S054,chr3,51982822,0.026893522
S055,chr2,199955431,0.301555266
S056,chr3,31981275,0.144763726
S057,chr7,101165768,1.034144196
S058,chr9,37465715,0.201195165
S059,chr17,75515004,0.054920672
S060,chr10,84173007,0.079374551
S061,chr10,71963463,0.416694314
S062,chr5,127517332,0.05992505
S063,chr6,56842889,0.001478366
S064,chr3,51974471,0.444042106
S065,chr7,130733488,0.771798107
S066,chr13,99087128,0.440056203
S067,chr7,150329961,0.001756899
S068,chr19,9362889,0.087295559
S069,chr19,51065849,0.11851793
S070,chr8,23404560,0.052940133
S071,chr22,21014721,0.578208568
S072,chr17,17206256,0.031153885
S073,chr1,110211635,0.346355946
S074,chr8,119067386,0.060215102
S075,chr2,169479657,0.058704445
S076,chr17,1684594,0.158648055
S077,chr19,41876655,0.018064958
S078,chr4,55509853,0.081029885
S079,chr4,90839078,0.142865007
S080,chr3,45026296,0.007113851
S081,chr15,44663900,0.027024582
S082,chr17,29042762,0.597211279
S083,chr16,2428780,0.43315799
S084,chr12,103841701,0.015758987
S085,chr6,25652374,1.858006164
S086,chr11,34105167,0.130551876
S087,chr17,34579983,0.141331243
S088,chr16,57186185,0.016307574
S089,chr14,52313916,0.151674548
S090,chr16,1615093,0.374888117
S091,chr1,56644730,0.238015601
S092,chr20,50116130,0.001010208
S093,chr19,19217181,0.091760658
S094,chr15,65517866,1.503184415
S095,chr9,69035321,0.626329239
S096,chr9,131737628,0.192242573
S097,chr19,48446184,0.041640015
S098,chr1,150981467,0.088226928
S099,chr1,39025787,0.520727113
S100,chr19,15479721,0.218776385
S101,chr19,54102395,0.005632264
S102,chr12,93677447,0.059490426
S103,chr16,84191295,0.051178068
S104,chr5,32711323,0.074789714
S105,chr11,68010482,0.01177889
S106,chr8,143038689,0.009940405
S107,chr22,27801808,0.116542884
S108,chr2,25168970,0.012830322
S109,chr8,66432405,0.341458098
S110,chr17,34270695,0.008484904
S111,chr3,45842184,0.070505215
S112,chr2,134251352,0.068634882
S113,chr16,2026596,0.42705014
S114,chr15,96330802,0.812907628
S115,chr1,68497257,0.140510611
S116,chr7,137846427,0.211774018
S117,chr5,17216325,0.103386824
S118,chr11,65557687,0.220130796
S119,chr10,51074738,0.12172174
S120,chr1,68047288,0.307808351
S121,chr14,74921402,0.196543481
S122,chr9,130664721,0.278393765
S123,chr12,79690938,0.027502906
S124,chr18,79952293,0.683075851
S125,chr17,42681679,0.013745188
S126,chr13,108268704,0.000417407
S127,chr17,74859820,0.147296004
S128,chr9,34662285,0.346465927
S129,chr4,6269931,0.016561072
S130,chr1,236394382,0.391318905
S131,chr12,47726633,0.066316642
S132,chr1,214603126,0.095237498
S133,chr1,111227669,0.046803147
S134,chr1,54548036,0.014675
S135,chr12,114408594,0.468416918
S136,chr5,151348251,0.069971286
S137,chr2,216859640,0.115358177
S138,chr11,125746993,0.057139076
S139,chr18,77249831,0.389335841
S140,chr2,226835742,0.514646778
S141,chr6,169790016,0.069157921
S142,chr16,87601867,0.399903548
S143,chr6,109382735,0.093135749
S144,chr19,13151201,0.012053497
S145,chr9,125707504,0.157897406
S146,chr1,243842986,0.076158602
S147,chr2,200510375,0.35058529
S148,chr17,75905258,0.176347192
S149,chr22,41926142,0.700001079
S150,chr2,48755818,0.079279219
S151,chr22,17120491,0.533301546
S152,chr3,39193875,0.045644385
S153,chr3,138434921,0.002979815
S154,chr19,43820799,0.188560769
S155,chr19,38257156,0.339726781
S156,chr3,33797897,0.131067992
S157,chr19,3573753,0.133612754
S158,chr18,21740577,0.431303727
S159,chr2,199954390,0.261380978
S160,chr10,69629940,0.205992326
S161,chr11,12009096,0.138857398
S162,chr22,46054227,0.091238949
S163,chr12,14886498,0.003525343
S164,chr1,19420070,0.013848218
S165,chr21,37007270,0.412023313
S166,chr11,65920406,0.201508653
S167,chr14,90332224,0.110100933
S168,chr15,74889789,0.448971744
S169,chr15,29821520,0.029983661
S170,chr21,36385227,0.049613334
S171,chr19,18233512,0.033651673
S172,chr7,24572799,0.12067687
