#Chromosome	Start	End	Name	Summit	Score	ChIP	Control	FoldEnrichment	DistributionScore	FDR
chr1	4492465	4492709	Peak_12229	4492587	1.21	1.58	0.37	4.21	1.00	0.30
chr1	4688824	4689068	Peak_11133	4688946	1.40	1.67	0.26	6.36	1.00	0.23
chr1	4851515	4851759	Peak_10529	4851637	1.54	1.71	0.17	10.00	1.00	0.23
chr1	4857368	4857612	Peak_9429	4857490	1.85	2.30	0.44	5.17	1.00	0.16
chr1	4857555	4857799	Peak_8094	4857677	2.35	2.72	0.37	7.41	1.00	0.16
chr1	5019274	5019518	Peak_1068	5019396	21.78	22.19	0.40	54.99	1.00	0.00
chr1	5022754	5022998	Peak_9863	5022876	1.72	1.93	0.20	9.48	1.00	0.18
chr1	5916966	5917210	Peak_7881	5917088	2.45	2.67	0.22	12.02	1.00	0.14
chr1	6214506	6214750	Peak_5701	6214628	4.04	4.16	0.11	38.93	1.00	0.04
chr1	6240272	6240516	Peak_1137	6240394	21.08	21.18	0.10	222.75	1.00	0.00
chr1	7088799	7089043	Peak_1400	7088921	17.99	18.16	0.18	103.75	1.00	0.00
chr1	7156180	7156424	Peak_12678	7156302	1.14	1.27	0.13	9.42	1.00	0.31
chr1	7271815	7272059	Peak_11227	7271937	1.39	1.77	0.38	4.61	1.00	0.24
chr1	8859227	8859471	Peak_1226	8859349	19.90	20.37	0.47	42.95	1.00	0.00
chr1	9506617	9506861	Peak_8593	9506739	2.14	2.35	0.21	11.29	1.00	0.16
chr1	9550579	9550823	Peak_12968	9550701	1.09	1.14	0.05	22.45	1.00	0.32
chr1	9700976	9701220	Peak_6057	9701098	3.69	3.88	0.20	19.91	1.00	0.03
chr1	9736573	9736817	Peak_11726	9736695	1.29	1.53	0.23	6.53	1.00	0.26
chr1	9748326	9748570	Peak_116	9748448	56.15	56.37	0.21	267.77	1.00	0.00
chr1	9852848	9853092	Peak_5342	9852970	4.43	4.66	0.23	19.87	1.00	0.04
chr1	9908580	9908824	Peak_1898	9908702	14.37	14.86	0.46	32.03	1.00	0.00
chr1	10038045	10038289	Peak_6394	10038167	3.38	3.64	0.26	14.23	1.00	0.08
chr1	10993734	10993978	Peak_10105	10993856	1.65	1.80	0.15	12.02	1.00	0.21
chr1	10995412	10995656	Peak_7992	10995534	2.40	2.55	0.15	16.89	1.00	0.15
chr1	11537259	11537503	Peak_8711	11537381	2.09	2.22	0.12	18.29	1.00	0.17
chr1	12519970	12520214	Peak_11051	12520092	1.42	1.52	0.10	15.26	1.00	0.23
chr1	12751238	12751482	Peak_11174	12751360	1.40	1.71	0.31	5.52	1.00	0.23
chr1	12790972	12791216	Peak_5253	12791094	4.57	4.77	0.21	23.14	1.00	0.04
