Site_ID,Chr,Coordinate,Weight
1,chr8,51734210,1
2,chr8,51734326,1
3,chr8,51734428,1
4,chr8,51734464,1
5,chr8,51734625,1
6,chr8,51734630,1
7,chr8,51734690,1
8,chr8,51734715,1
9,chr8,51734723,1
10,chr8,51734730,1
11,chr8,51734749,1
12,chr8,51734756,1
13,chr8,51734823,1
14,chr8,51734840,1
15,chr8,51734860,1
16,chr8,51734921,1
17,chr8,51734958,1
18,chr8,51735037,1
19,chr8,51735050,1
20,chr8,51735111,1
21,chr8,51735161,1
22,chr8,51735193,1
23,chr8,51735273,1
24,chr8,51735290,1
25,chr8,51735292,1
26,chr8,51735296,1
27,chr8,51735312,1
28,chr8,51735315,1
29,chr8,51735333,1
30,chr7,21713023,1
31,chr7,21713423,1
32,chr7,21713602,1
33,chr7,21713686,1
34,chr7,21713762,1
35,chr7,21713958,1
36,chr7,21714099,1
37,chr7,21714170,1
38,chr7,21714291,1
39,chr7,21714318,1
40,chr7,21714325,1
41,chr7,21714406,1
42,chr7,21714470,1
43,chr7,21714715,1
44,chr7,21714780,1
45,chr7,21714852,1
46,chr7,21714984,1
47,chr7,21714987,1
48,chr7,21715191,1
49,chr7,21715428,1
50,chr7,21715524,1
51,chr7,21715752,1
52,chr7,21715933,1
53,chr7,21716070,1
54,chr7,21716144,1
55,chr7,21716151,1
56,chr7,21716721,1
57,chr7,21716756,1
58,chr7,21716796,1
59,chr7,21716946,1
60,chr7,21716992,1
61,chr7,21717056,1
62,chr7,21717082,1
63,chr7,21717538,1
64,chr7,21718120,1
65,chr7,21718201,1
66,chr7,21718230,1
67,chr7,21718240,1
68,chr7,21718268,1
69,chr7,21718640,1
70,chr7,21719178,1
71,chr7,21719440,1
72,chr7,21719528,1
73,chr7,21719539,1
74,chr7,21719586,1
75,chr7,21719765,1
76,chr7,21719768,1
77,chr7,21719795,1
78,chr7,21719877,1
79,chr7,21719958,1
80,chr7,21719974,1
81,chr7,21720060,1
82,chr7,21720063,1
83,chr7,21720093,1
84,chr7,21720117,1
85,chr7,21720149,1
86,chr7,21720158,1
87,chr7,21720225,1
88,chr7,21720349,1
89,chr7,21720501,1
90,chr7,21720544,1
91,chr7,21720547,1
92,chr7,21720558,1
93,chr7,21720567,1
94,chr7,21720581,1
95,chr7,21720809,1
96,chr7,21720817,1
97,chr7,21720962,1
98,chr7,21721320,1
99,chr7,21721490,1
100,chr7,21721972,1
101,chr7,21722316,1
102,chr7,21722355,1
103,chr7,21722367,1
104,chr7,21722404,1
105,chr7,21722410,1
106,chr7,21722436,1
107,chr7,21722441,1
108,chr7,21722446,1
109,chr7,21722466,1
110,chr7,21722510,1
111,chr7,21722557,1
112,chr7,21722583,1
113,chr7,21722614,1
114,chr7,21722624,1
115,chr7,21722629,1
116,chr7,21722770,1
117,chr7,21722776,1
118,chr7,21722820,1
119,chr7,21722872,1
120,chr7,21722902,1
121,chr7,21722920,1
122,chr7,21722945,1
123,chr7,21722993,1
124,chr7,21723269,1
125,chr7,21723316,1
126,chr7,21723325,1
127,chr7,21723378,1
128,chr7,21723487,1
129,chr7,21723568,1
130,chr7,21723772,1
131,chr7,21723774,1
132,chr7,21724230,1
133,chr7,21724390,1
134,chr7,21724412,1
135,chr7,21724450,1
136,chr7,21724549,1
137,chr7,21724570,1
138,chr7,21724651,1
139,chr7,21724677,1
140,chr7,21724757,1
141,chr7,21724809,1
142,chr7,21724965,1
143,chr7,21724980,1
144,chr7,21724990,1
145,chr7,21724993,1
146,chr7,21725106,1
147,chr7,21725115,1
148,chr7,21725213,1
149,chr7,21725430,1
150,chr7,21725529,1
151,chr7,21725551,1
152,chr7,21725611,1
153,chr7,21725700,1
154,chr7,21725837,1
155,chr7,21725986,1
156,chr7,21725990,1
157,chr7,21726125,1
158,chr7,21726225,1
159,chr7,21726371,1
160,chr7,21726389,1
161,chr7,21726587,1
162,chr7,21726672,1
163,chr7,21726813,1
164,chr7,21727073,1
165,chr7,21727112,1
166,chr7,21727140,1
167,chr7,21727190,1
168,chr7,21727309,1
169,chr7,21727557,1
170,chr7,21727576,1
171,chr7,21727640,1
172,chr7,21727813,1
173,chr7,21727999,1
174,chr7,21728015,1
175,chr7,21728092,1
176,chr7,21728121,1
177,chr7,21728140,1
178,chr7,21728145,1
179,chr7,21728168,1
180,chr7,21728215,1
181,chr7,21728283,1
182,chr7,21728432,1
183,chr7,21728445,1
184,chr7,21728492,1
185,chr7,21728508,1
186,chr7,21728752,1
187,chr7,21728781,1
188,chr7,21728854,1
189,chr7,21728971,1
190,chr7,21729004,1
191,chr7,21729015,1
192,chr7,21729056,1
193,chr7,21729097,1
194,chr7,21729110,1
195,chr7,21729120,1
196,chr7,21729210,1
197,chr7,21729235,1
198,chr7,21729250,1
199,chr7,21729366,1
200,chr7,21729471,1
201,chr7,21729526,1
202,chr7,21729540,1
203,chr7,21729557,1
204,chr7,21729570,1
205,chr7,21729634,1
206,chr7,21729665,1
207,chr7,21729710,1
208,chr7,21729723,1
209,chr7,21729744,1
210,chr7,21729840,1
211,chr7,21729849,1
212,chr7,21729859,1
213,chr7,21729899,1
214,chr7,21729927,1
215,chr7,21729931,1
216,chr7,21729989,1
217,chr7,21729991,1
218,chr7,21730018,1
219,chr7,21730052,1
220,chr7,21730086,1
221,chr7,21730110,1
222,chr7,21730137,1
223,chr7,21730144,1
224,chr7,21730151,1
225,chr7,21730156,1
226,chr7,21730163,1
227,chr7,21730206,1
228,chr7,21730215,1
229,chr7,21730218,1
230,chr7,21730232,1
231,chr7,21730245,1
232,chr7,21730248,1
233,chr7,21730263,1
234,chr7,21730271,1
235,chr7,21730283,1
236,chr7,21730351,1
237,chr7,21730356,1
238,chr7,21730361,1
239,chr7,21730405,1
240,chr7,21730430,1
241,chr7,21730450,1
242,chr7,21730472,1
243,chr7,21730498,1
244,chr7,21730529,1
245,chr7,21730539,1
246,chr7,21730544,1
247,chr7,21731314,1
248,chr7,21731363,1
249,chr7,21731471,1
250,chr7,21731960,1
251,chr7,21732067,1
252,chr7,21732734,1
253,chr7,21733235,1
254,chr7,21733336,1
255,chr7,21733595,1
256,chr7,21733651,1
257,chr7,21733694,1
258,chr7,21733732,1
259,chr7,21733893,1
260,chr7,21734080,1
261,chr7,21734101,1
262,chr7,21734158,1
263,chr7,21734180,1
264,chr7,21734212,1
265,chr7,21734579,1
266,chr7,21734849,1
267,chr7,21735798,1
268,chr7,21735845,1
269,chr7,21735938,1
270,chr7,21736124,1
271,chr7,21736961,1
272,chr7,21737098,1
273,chr7,21737112,1
274,chr7,21737225,1
275,chr7,21737264,1
276,chr7,21737343,1
277,chr7,21737483,1
278,chr7,21737526,1
279,chr7,21737918,1
280,chr7,21738012,1
281,chr1,82501365,1
282,chr1,82501385,1
283,chr1,82501392,1
284,chr1,82501397,1
285,chr1,82501409,1
286,chr1,82501418,1
287,chr1,82501453,1
288,chr1,82501458,1
289,chr1,82501460,1
290,chr1,82501476,1
291,chr1,82501537,1
292,chr1,82501563,1
293,chr1,82501912,1
294,chr1,82501945,1
295,chr1,82501958,1
296,chr1,82502101,1
297,chr1,82502108,1
298,chr1,82502142,1
299,chr1,82502155,1
300,chr1,82502164,1
301,chr1,82502173,1
302,chr1,82502180,1
303,chr1,82502187,1
