Site_ID,Chr,Coordinate,Weight
S00001,chr1,925797,1
S00002,chr1,925917,1
S00003,chr1,926009,1
S00004,chr1,930158,1
S00005,chr1,935892,1
S00006,chr1,935895,1
S00007,chr1,939035,1
S00008,chr1,939459,1
S00009,chr1,942487,1
S00010,chr1,943254,1
S00011,chr1,943256,1
S00012,chr1,943375,1
S00013,chr1,960797,1
S00014,chr1,960800,1
S00015,chr1,961296,1
S00016,chr1,961821,1
S00017,chr1,962469,1
S00018,chr1,963110,1
S00019,chr1,963251,1
S00020,chr1,963331,1
S00021,chr1,964101,1
S00022,chr1,964526,1
S00023,chr1,964534,1
S00024,chr1,966802,1
S00025,chr1,970516,1
S00026,chr1,972070,1
S00027,chr1,972420,1
S00028,chr1,973009,1
S00029,chr1,1013423,1
S00030,chr1,1020377,1
S00031,chr1,1022204,1
S00032,chr1,1022466,1
S00033,chr1,1040665,1
S00034,chr1,1040879,1
S00035,chr1,1041168,1
S00036,chr1,1041176,1
S00037,chr1,1041699,1
S00038,chr1,1043540,1
S00039,chr1,1044104,1
S00040,chr1,1044110,1
S00041,chr1,1044256,1
S00042,chr1,1044436,1
S00043,chr1,1045523,1
S00044,chr1,1045965,1
S00045,chr1,1046956,1
S00046,chr1,1047454,1
S00047,chr1,1048006,1
S00048,chr1,1049449,1
S00049,chr1,1049568,1
S00050,chr1,1049791,1
S00051,chr1,1049794,1
S00052,chr1,1050040,1
S00053,chr1,1050236,1
S00054,chr1,1050332,1
S00055,chr1,1050836,1
S00056,chr1,1051248,1
S00057,chr1,1051820,1
S00058,chr1,1051993,1
S00059,chr1,1052014,1
S00060,chr1,1053464,1
S00061,chr1,1053753,1
S00062,chr1,1174268,1
S00063,chr1,1180037,1
S00064,chr1,1180478,1
S00065,chr1,1180606,1
S00066,chr1,1183051,1
S00067,chr1,1196603,1
S00068,chr1,1284095,1
S00069,chr1,1285573,1
S00070,chr1,1286274,1
S00071,chr1,1286277,1
S00072,chr1,1286770,1
S00073,chr1,1287298,1
S00074,chr1,1287595,1
S00075,chr1,1287941,1
S00076,chr1,1291139,1
S00077,chr1,1291249,1
S00078,chr1,1308910,1
S00079,chr1,1308915,1
S00080,chr1,1308976,1
S00081,chr1,1310912,1
S00082,chr1,1311070,1
S00083,chr1,1327036,1
S00084,chr1,1332916,1
S00085,chr1,1333254,1
S00086,chr1,1333507,1
S00087,chr1,1426381,1
S00088,chr1,1435818,1
S00089,chr1,1435820,1
S00090,chr1,1437483,1
S00091,chr1,1439082,1
S00092,chr1,1439084,1
S00093,chr1,1452367,1
S00094,chr1,1452433,1
S00095,chr1,1454505,1
S00096,chr1,1455785,1
S00097,chr1,1456345,1
S00098,chr1,1456347,1
S00099,chr1,1460745,1
S00100,chr1,1460916,1
S00101,chr1,1462601,1
S00102,chr1,1472087,1
S00103,chr1,1472089,1
S00104,chr1,1477269,1
S00105,chr1,1478745,1
S00106,chr1,1480933,1
S00107,chr1,1482540,1
S00108,chr1,1482547,1
S00109,chr1,1482613,1
S00110,chr1,1485176,1
S00111,chr1,1485776,1
S00112,chr1,1486104,1
S00113,chr1,1486664,1
S00114,chr1,1486666,1
S00115,chr1,1490423,1
S00116,chr1,1490564,1
S00117,chr1,1512694,1
S00118,chr1,1517170,1
S00119,chr1,1517412,1
S00120,chr1,1518987,1
S00121,chr1,1520543,1
S00122,chr1,1520550,1
S00123,chr1,1520616,1
S00124,chr1,1523505,1
S00125,chr1,1523833,1
S00126,chr1,1524393,1
S00127,chr1,1524395,1
S00128,chr1,1525291,1
S00129,chr1,1527690,1
S00130,chr1,1529224,1
S00131,chr1,1623698,1
S00132,chr1,1623703,1
S00133,chr1,1623775,1
S00134,chr1,1623941,1
S00135,chr1,1623945,1
S00136,chr1,1625184,1
S00137,chr1,1625281,1
S00138,chr1,1625424,1
