Site_ID,Chr,Coordinate,Weight
1,chr2,206203530,1
2,chr2,206203546,1
3,chr2,206203567,1
4,chr2,206203569,1
5,chr2,206203591,1
6,chr2,206203593,1
7,chr2,206203617,1
8,chr2,206203624,1
9,chr2,206203634,1
10,chr3,183098950,1
11,chr3,183098962,1
12,chr3,183098984,1
13,chr3,183098990,1
14,chr3,183099003,1
15,chr3,183099025,1
16,chr3,183099033,1
17,chr3,183099042,1
18,chr3,183099048,1
19,chr3,183099058,1
20,chr3,183099061,1
21,chr3,183099064,1
22,chr3,183099085,1
23,chr3,183099125,1
24,chr3,183099127,1
25,chr3,183099135,1
26,chr3,183099145,1
27,chr3,183099151,1
28,chr3,183099190,1
29,chr3,183099193,1
30,chr3,183099196,1
31,chr3,183099205,1
32,chr3,183099219,1
33,chr3,183099243,1
34,chr3,183099257,1
35,chr3,183099270,1
36,chr3,183099273,1
37,chr3,183099285,1
38,chr3,183099291,1
39,chr3,183099293,1
40,chr3,183099299,1
41,chr3,183099310,1
42,chr3,183099316,1
43,chr3,183099354,1
44,chr3,183099357,1
45,chr3,183099372,1
46,chr3,183099379,1
47,chr3,183099388,1
48,chr3,183099399,1
49,chr3,183099402,1
50,chr3,183099417,1
51,chr3,183099423,1
52,chr3,183099432,1
53,chr3,183099435,1
54,chr3,183099453,1
55,chr3,183099462,1
56,chr3,183099489,1
57,chr3,183099498,1
58,chr3,183099507,1
59,chr3,183099520,1
60,chr3,183099528,1
61,chr3,183099537,1
62,chr3,183099540,1
63,chr3,183099547,1
64,chr3,183099550,1
65,chr3,183099593,1
66,chr3,183099601,1
67,chr3,183099626,1
68,chr3,183099638,1
69,chr3,183099641,1
70,chr3,183099660,1
71,chr3,183099666,1
72,chr3,183099691,1
73,chr3,183099777,1
74,chr3,183099790,1
75,chr3,183099796,1
76,chr5,59038849,1
77,chr5,59038882,1
78,chr5,59038945,1
79,chr5,59038975,1
80,chr5,59039010,1
81,chr5,59039017,1
82,chr5,59039023,1
83,chr5,59039029,1
84,chr5,59039060,1
85,chr5,59039069,1
86,chr5,59039077,1
87,chr5,59039083,1
88,chr5,59039119,1
89,chr5,59039130,1
90,chr5,59039136,1
91,chr5,59039149,1
92,chr5,59039151,1
93,chr5,59039156,1
94,chr5,59039160,1
95,chr5,59039166,1
96,chr5,59039176,1
97,chr5,59039193,1
98,chr5,59039198,1
99,chr5,59039203,1
100,chr5,59039219,1
101,chr5,59039230,1
102,chr5,59039233,1
103,chr5,59039252,1
104,chr5,59039255,1
105,chr5,59039257,1
106,chr5,59039261,1
107,chr5,59039277,1
108,chr5,59039293,1
109,chr5,59039296,1
110,chr5,59039302,1
111,chr5,59039322,1
112,chr5,59039331,1
113,chr5,59039338,1
114,chr5,59039349,1
115,chr5,59039353,1
116,chr5,59039355,1
117,chr5,59039367,1
118,chr5,59039372,1
119,chr5,59039382,1
120,chr5,59039397,1
121,chr5,59039407,1
122,chr5,59039419,1
123,chr5,59039425,1
124,chr5,59039427,1
125,chr5,59039435,1
126,chr5,59039439,1
127,chr5,59039444,1
128,chr5,59039451,1
129,chr5,59039464,1
130,chr5,59039489,1
131,chr5,59039491,1
132,chr5,59039495,1
133,chr5,59039501,1
134,chr5,59039503,1
135,chr5,59039512,1
136,chr5,59039539,1
137,chr5,59039543,1
138,chr5,59039550,1
139,chr5,59039555,1
140,chr5,59039557,1
141,chr5,59039566,1
142,chr5,59039569,1
143,chr5,59039579,1
144,chr5,59039597,1
145,chr5,59039606,1
146,chr5,59039613,1
147,chr5,59039616,1
148,chr5,59039645,1
149,chr5,59039656,1
150,chr5,59039681,1
151,chr5,59039690,1
152,chr5,59039693,1
153,chr5,59039695,1
154,chr5,59039707,1
155,chr5,59039719,1
156,chr5,59039728,1
157,chr5,59039736,1
158,chr5,59039752,1
159,chr5,59039755,1
160,chr5,59039761,1
161,chr5,59039765,1
162,chr5,59039772,1
163,chr5,59039788,1
164,chr5,59039796,1
165,chr5,59039798,1
166,chr5,59039802,1
167,chr5,59039804,1
168,chr5,59039808,1
169,chr5,59039854,1
170,chr5,59039857,1
171,chr5,59039866,1
172,chr5,59039869,1
173,chr5,59039876,1
174,chr5,59039887,1
175,chr5,59039890,1
176,chr5,59039894,1
177,chr5,59039900,1
178,chr5,59039902,1
179,chr5,59039906,1
180,chr5,59039909,1
181,chr5,59039911,1
182,chr5,59039928,1
183,chr5,59039933,1
184,chr5,59039939,1
185,chr5,59039941,1
186,chr5,59039945,1
187,chr5,59039949,1
188,chr5,59039951,1
189,chr5,59039962,1
190,chr5,59039973,1
191,chr5,59039975,1
192,chr5,59039977,1
193,chr5,59039982,1
194,chr5,59039985,1
195,chr5,59040014,1
196,chr5,59040028,1
197,chr5,59040036,1
198,chr5,59040040,1
199,chr5,59040053,1
200,chr6,104953110,1
201,chr6,104953115,1
202,chr6,104953118,1
203,chr6,104953129,1
204,chr6,104953163,1
205,chr6,104953170,1
206,chr6,104953184,1
207,chr6,104953199,1
208,chr6,104953202,1
209,chr6,104953205,1
210,chr6,104953223,1
211,chr6,104953236,1
212,chr6,104953239,1
213,chr6,104953249,1
214,chr6,104953251,1
215,chr6,104953259,1
216,chr6,104953267,1
217,chr6,104953270,1
218,chr6,104953273,1
219,chr6,104953311,1
220,chr6,104953344,1
221,chr6,104953363,1
222,chr6,104953431,1
223,chr6,104953464,1
224,chr6,104953613,1
225,chr6,104953684,1
226,chr6,104953698,1
227,chr6,104953700,1
228,chr6,104953722,1
229,chr6,104953726,1
230,chr6,104953737,1
231,chr6,104953754,1
232,chr6,104953761,1
233,chr6,104953770,1
234,chr6,104953787,1
235,chr6,106511660,1
236,chr6,106511674,1
237,chr6,106511676,1
238,chr6,106511688,1
239,chr6,106511702,1
240,chr6,106511711,1
241,chr6,106511717,1
242,chr6,106511726,1
243,chr6,106511741,1
244,chr6,106511744,1
245,chr6,106511757,1
246,chr6,106511776,1
247,chr6,106511890,1
248,chr6,106511893,1
249,chr6,106511918,1
250,chr6,106511926,1
251,chr6,106511930,1
252,chr6,106511934,1
253,chr6,106511941,1
254,chr6,106511951,1
255,chr6,106511972,1
256,chr6,106512004,1
257,chr6,106512013,1
258,chr6,106512027,1
259,chr6,106512032,1
260,chr6,106512034,1
261,chr6,106512047,1
262,chr6,106512059,1
263,chr6,106512080,1
264,chr6,106512102,1
265,chr6,106512107,1
266,chr6,106512111,1
267,chr6,106512131,1
268,chr6,106512133,1
269,chr6,106512157,1
270,chr6,106512161,1
271,chr6,106512167,1
272,chr6,106512172,1
273,chr6,106512178,1
274,chr6,106512188,1
275,chr6,106512190,1
276,chr6,106512210,1
277,chr6,106512224,1
278,chr6,106512290,1
279,chr6,106512295,1
280,chr6,106512299,1
281,chr6,106512316,1
282,chr6,106512326,1
283,chr6,106512338,1
284,chr6,106512359,1
285,chr6,106512363,1
286,chr6,106512370,1
287,chr6,106512378,1
288,chr6,106512388,1
289,chr6,106512401,1
290,chr6,106512410,1
291,chr6,106512413,1
292,chr6,106512415,1
293,chr6,106512419,1
294,chr6,106512422,1
295,chr6,106512437,1
296,chr6,106512449,1
297,chr6,106512452,1
298,chr6,106512454,1
299,chr6,106512461,1
300,chr6,106512464,1
301,chr6,106512467,1
302,chr6,106512475,1
303,chr6,106512482,1
304,chr6,106512484,1
305,chr6,106512491,1
306,chr6,106512497,1
307,chr6,106512502,1
308,chr6,106512505,1
309,chr6,106512526,1
310,chr6,106512528,1
311,chr6,106512539,1
312,chr6,106512542,1
313,chr6,106512548,1
314,chr6,106512557,1
315,chr6,106512562,1
316,chr6,106512587,1
317,chr6,106512606,1
318,chr6,106512616,1
319,chr6,106512621,1
320,chr6,106512640,1
321,chr6,106512646,1
322,chr6,106512655,1
323,chr6,106512675,1
324,chr6,106512683,1
325,chr6,106512689,1
326,chr6,106512695,1
327,chr6,106512700,1
328,chr6,106512704,1
329,chr6,106512710,1
330,chr6,106512717,1
331,chr6,106512725,1
332,chr6,106512755,1
333,chr6,106512784,1
334,chr6,106512788,1
335,chr6,106512794,1
336,chr6,106512805,1
337,chr6,106512808,1
338,chr6,106512810,1
339,chr6,106512822,1
340,chr6,106512824,1
341,chr6,106512832,1
342,chr6,106512847,1
343,chr6,106512856,1
344,chr6,106512869,1
345,chr6,106512886,1
346,chr6,106512905,1
347,chr6,106512909,1
348,chr6,106512924,1
349,chr6,106512946,1
350,chr6,106512950,1
351,chr6,106512955,1
352,chr6,106512971,1
353,chr6,106512974,1
354,chr6,106512977,1
355,chr6,106513001,1
356,chr6,106513004,1
357,chr6,106513015,1
358,chr6,106513049,1
359,chr6,106513051,1
360,chr6,106513060,1
361,chr6,106513064,1
362,chr6,106513076,1
363,chr6,106513082,1
364,chr7,134986273,1
365,chr7,134986306,1
366,chr7,134986332,1
367,chr7,134986369,1
368,chr7,134986376,1
369,chr7,134986386,1
370,chr7,134986394,1
371,chr7,134986434,1
372,chr7,134986451,1
373,chr7,134986474,1
374,chr7,134986485,1
375,chr7,134986493,1
376,chr7,134986495,1
377,chr7,134986501,1
378,chr7,134986507,1
379,chr7,134986520,1
380,chr7,134986547,1
381,chr7,134986564,1
382,chr7,134986576,1
383,chr7,134986587,1
384,chr7,134986596,1
385,chr7,134986598,1
386,chr7,134986604,1
387,chr7,134986606,1
388,chr7,134986614,1
389,chr7,134986628,1
390,chr7,134986632,1
391,chr7,134986638,1
392,chr7,134986641,1
393,chr7,134986663,1
394,chr7,134986665,1
395,chr7,134986673,1
396,chr7,134986681,1
397,chr7,134986687,1
398,chr7,134986695,1
399,chr7,134986718,1
400,chr7,134986723,1
401,chr7,134986732,1
402,chr7,134986739,1
403,chr7,134986743,1
404,chr7,134986745,1
405,chr7,134986750,1
406,chr7,134986761,1
407,chr7,134986795,1
408,chr7,134986807,1
409,chr7,134986811,1
410,chr7,134986815,1
411,chr7,134986832,1
412,chr7,134986841,1
413,chr7,134986850,1
414,chr7,134986864,1
415,chr7,134986869,1
416,chr7,134986871,1
417,chr7,134986879,1
418,chr7,134986885,1
419,chr7,134986887,1
420,chr7,134986891,1
421,chr7,134986908,1
422,chr7,134986927,1
423,chr7,134986929,1
424,chr7,134986934,1
425,chr7,134986937,1
426,chr7,134986951,1
427,chr7,134986976,1
428,chr7,134986994,1
429,chr7,134986998,1
430,chr7,134987038,1
431,chr7,134987119,1
432,chr7,134987125,1
433,chr7,134987180,1
434,chr7,134987192,1
435,chr7,134987211,1
436,chr9,4298157,1
437,chr9,4298161,1
438,chr9,4298164,1
439,chr9,4298174,1
440,chr9,4298176,1
441,chr9,4298178,1
442,chr9,4298185,1
443,chr9,4298194,1
444,chr9,4298208,1
445,chr9,4298214,1
446,chr9,4298219,1
447,chr9,4298223,1
448,chr9,4298229,1
449,chr9,4298242,1
450,chr9,4298245,1
451,chr9,4298253,1
452,chr9,4298260,1
453,chr9,4298263,1
454,chr9,4298295,1
455,chr9,4298302,1
456,chr9,4298327,1
457,chr9,4298334,1
458,chr9,4298336,1
459,chr9,4298340,1
460,chr9,4298342,1
461,chr9,4298374,1
462,chr9,4298452,1
463,chr9,4298459,1
464,chr9,4298499,1
465,chr9,4298503,1
466,chr9,4298532,1
467,chr9,4298535,1
468,chr9,4298546,1
469,chr9,4298560,1
470,chr9,4298565,1
471,chr9,4298570,1
472,chr9,4298612,1
473,chr9,4298614,1
474,chr9,4298616,1
475,chr9,4298626,1
476,chr9,4298632,1
477,chr9,4298671,1
478,chr9,4298693,1
479,chr9,4298695,1
480,chr9,4298703,1
481,chr9,4298709,1
482,chr9,4298712,1
483,chr9,4298723,1
484,chr9,4298741,1
485,chr9,4298749,1
486,chr9,4298752,1
487,chr9,4298779,1
488,chr9,4298785,1
489,chr9,4298790,1
490,chr9,4298793,1
491,chr9,4298798,1
492,chr9,4298805,1
493,chr9,4298807,1
494,chr9,4298831,1
495,chr9,4298842,1
496,chr9,4298859,1
497,chr9,4298879,1
498,chr9,4298895,1
499,chr9,4298913,1
500,chr9,4298942,1
501,chr9,4298944,1
502,chr9,4298950,1
503,chr9,4298952,1
504,chr9,4298964,1
505,chr9,4298987,1
506,chr9,4299025,1
507,chr9,4299036,1
508,chr9,4299040,1
509,chr9,4299050,1
510,chr9,4299077,1
511,chr9,4299111,1
512,chr9,4299119,1
513,chr9,4299135,1
514,chr9,4299158,1
515,chr9,4299221,1
516,chr9,4299245,1
517,chr9,4299248,1
518,chr9,4299262,1
519,chr9,4299264,1
520,chr9,4299278,1
521,chr9,4299280,1
522,chr9,4299282,1
523,chr9,4299286,1
524,chr9,4299292,1
525,chr9,4299300,1
526,chr9,4299330,1
527,chr9,4299364,1
528,chr9,4299368,1
529,chr9,4299379,1
530,chr9,4299386,1
531,chr9,4299392,1
532,chr9,4299429,1
533,chr9,4299450,1
534,chr9,4299453,1
535,chr9,4299457,1
536,chr9,4299471,1
537,chr9,4299475,1
538,chr9,4299482,1
539,chr9,4299484,1
540,chr9,4299494,1
541,chr9,4299498,1
542,chr9,4299502,1
543,chr9,4299505,1
544,chr9,4299511,1
545,chr9,4299544,1
546,chr9,4299549,1
547,chr9,4299551,1
548,chr9,4299567,1
549,chr9,4299591,1
550,chr9,4299599,1
551,chr9,4299604,1
552,chr9,4299606,1
553,chr9,4299614,1
554,chr9,4299626,1
555,chr9,4299634,1
556,chr9,4299636,1
557,chr9,4299638,1
558,chr9,4299640,1
559,chr9,4299646,1
560,chr9,4299655,1
561,chr9,4299658,1
562,chr9,4299683,1
563,chr9,4299700,1
564,chr9,4299768,1
565,chr9,4299781,1
566,chr9,4299800,1
567,chr9,4299810,1
568,chr9,4299830,1
569,chr9,4299836,1
570,chr9,4299858,1
571,chr9,4299861,1
572,chr9,4299868,1
573,chr9,4299871,1
574,chr9,4299874,1
575,chr9,4299889,1
576,chr9,4299892,1
577,chr9,4299894,1
578,chr9,4299898,1
579,chr9,4299901,1
580,chr9,4299915,1
581,chr9,4299931,1
582,chr9,4299933,1
583,chr9,4299940,1
584,chr9,4299943,1
585,chr9,4299946,1
586,chr9,4299953,1
587,chr9,4299957,1
588,chr9,4299959,1
589,chr9,4299962,1
590,chr9,4299964,1
591,chr9,4299978,1
592,chr9,4299982,1
593,chr9,4299985,1
594,chr9,4299996,1
595,chr9,4299998,1
596,chr9,4300045,1
597,chr9,4300049,1
598,chr9,4300070,1
599,chr9,4300074,1
600,chr9,4300076,1
601,chr9,4300083,1
602,chr9,4300115,1
603,chr9,4300118,1
604,chr9,4300144,1
605,chr9,4300150,1
606,chr9,4300152,1
607,chr9,4300174,1
608,chr9,4300181,1
609,chr9,4300203,1
610,chr9,4300252,1
611,chr9,4300256,1
612,chr9,4300266,1
613,chr9,4300305,1
614,chr9,4300421,1
615,chr9,37800487,1
616,chr9,37800569,1
617,chr9,37800571,1
618,chr9,37800578,1
619,chr9,37800599,1
620,chr9,37800637,1
621,chr9,37800657,1
622,chr9,37800670,1
623,chr9,37800676,1
624,chr9,37800684,1
625,chr9,37800687,1
626,chr9,37800698,1
627,chr9,37800701,1
628,chr9,37800718,1
629,chr9,37800725,1
630,chr9,37800728,1
631,chr9,37800732,1
632,chr9,37800739,1
633,chr9,37800746,1
634,chr9,37800749,1
635,chr9,37800751,1
636,chr9,37800763,1
637,chr9,37800777,1
638,chr9,37800784,1
639,chr9,37800787,1
